date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreasePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreasePerMillion
20200303,false,0,0,0,0,0,0,0,0
20200304,false,0,0,0,0,0,0,0,0
20200305,false,0,0,0,0,0,0,0,0
20200306,false,0,0,0,0,0,0,0,0
20200307,false,0,0,0,0,1,2,1,2
20200308,false,0,0,0,0,1,2,0,0
20200309,false,0,0,0,0,1,2,0,0
20200310,false,0,0,0,0,1,2,0,0
20200311,false,0,0,0,0,2,3,1,2
20200312,false,0,0,0,0,2,3,0,0
20200313,false,0,0,0,0,5,8,3,5
20200314,false,0,0,0,0,8,13,3,5
20200315,false,0,0,0,0,12,19,4,6
20200316,false,0,0,0,0,17,27,5,8
20200317,false,0,0,0,0,19,30,2,3
20200318,false,0,0,0,0,21,34,2,3
20200319,false,0,0,0,0,28,45,7,11
20200320,false,2,3,2,3,44,71,16,26
20200321,false,2,3,0,0,52,83,8,13
20200322,false,2,3,0,0,76,122,24,38
20200323,false,5,8,3,5,97,155,21,34
20200324,false,7,11,2,3,125,200,28,45
20200325,false,8,13,1,2,160,256,35,56
20200326,false,9,14,1,2,185,296,25,40
20200327,false,10,16,1,2,213,341,28,45
20200328,false,12,19,2,3,234,375,21,34
20200329,false,12,19,0,0,256,410,22,35
20200330,false,12,19,0,0,293,470,37,59
20200331,false,13,21,1,2,320,513,27,43
20200401,false,16,26,3,5,359,575,39,63
20200402,false,17,27,1,2,390,625,31,50
20200403,false,17,27,0,0,460,737,70,112
20200404,false,20,32,3,5,512,821,52,83
20200405,false,22,35,2,3,543,870,31,50
20200406,false,23,37,1,2,575,921,32,51
20200407,false,23,37,0,0,608,974,33,53
20200408,false,23,37,0,0,631,1011,23,37
20200409,false,23,37,0,0,680,1090,49,79
20200410,false,24,38,1,2,713,1143,33,53
20200411,false,25,40,1,2,733,1175,20,32
20200412,false,27,43,2,3,754,1208,21,34
20200413,false,28,45,1,2,761,1220,7,11
20200414,false,29,46,1,2,770,1234,9,14
20200415,false,30,48,1,2,779,1248,9,14
20200416,false,35,56,5,8,792,1269,13,21
20200417,false,35,56,0,0,802,1285,10,16
20200418,false,38,61,3,5,813,1303,11,18
20200419,false,38,61,0,0,817,1309,4,6
20200420,false,38,61,0,0,820,1314,3,5
20200421,false,40,64,2,3,828,1327,8,13
20200422,false,40,64,0,0,831,1332,3,5
20200423,false,43,69,3,5,834,1337,3,5
20200424,false,44,71,1,2,843,1351,9,14
20200425,false,46,74,2,3,852,1365,9,14
20200426,false,46,74,0,0,855,1370,3,5
20200427,false,47,75,1,2,862,1381,7,11
20200428,false,47,75,0,0,862,1381,0,0
20200429,false,47,75,0,0,866,1388,4,6
20200430,false,49,79,2,3,879,1409,13,21
20200501,false,50,80,1,2,885,1418,6,10
20200502,false,51,82,1,2,896,1436,11,18
20200503,false,52,83,1,2,901,1444,5,8
20200504,false,52,83,0,0,906,1452,5,8
20200505,false,52,83,0,0,909,1457,3,5
20200506,false,52,83,0,0,914,1465,5,8
20200507,false,53,85,1,2,916,1468,2,3
20200508,false,53,85,0,0,918,1471,2,3
20200509,false,53,85,0,0,926,1484,8,13
20200510,false,53,85,0,0,926,1484,0,0
20200511,false,53,85,0,0,927,1486,1,2
20200512,false,53,85,0,0,929,1489,2,3
20200513,false,53,85,0,0,930,1490,1,2
20200514,false,53,85,0,0,931,1492,1,2
20200515,false,53,85,0,0,932,1494,1,2
20200516,false,53,85,0,0,940,1506,8,13
20200517,false,54,87,1,2,940,1506,0,0
20200518,false,54,87,0,0,944,1513,4,6
20200519,false,54,87,0,0,944,1513,0,0
20200520,false,54,87,0,0,944,1513,0,0
20200521,false,54,87,0,0,950,1522,6,10
20200522,false,54,87,0,0,952,1526,2,3
20200523,false,54,87,0,0,954,1529,2,3
20200524,false,54,87,0,0,956,1532,2,3
20200525,false,54,87,0,0,962,1542,6,10
20200526,false,54,87,0,0,967,1550,5,8
20200527,false,54,87,0,0,971,1556,4,6
20200528,false,55,88,1,2,974,1561,3,5
20200529,false,55,88,0,0,975,1563,1,2
20200530,false,55,88,0,0,977,1566,2,3
20200531,false,55,88,0,0,981,1572,4,6
20200601,false,55,88,0,0,983,1575,2,3
20200602,false,55,88,0,0,988,1583,5,8
20200603,false,55,88,0,0,990,1587,2,3
20200604,false,55,88,0,0,1026,1644,36,58
20200605,false,55,88,0,0,1027,1646,1,2
20200606,false,55,88,0,0,1046,1676,19,30
20200607,false,55,88,0,0,1063,1704,17,27
20200608,false,55,88,0,0,1075,1723,12,19
20200609,false,55,88,0,0,1084,1737,9,14
20200610,false,55,88,0,0,1095,1755,11,18
20200611,false,55,88,0,0,1110,1779,15,24
20200612,false,55,88,0,0,1119,1793,9,14
20200613,false,55,88,0,0,1125,1803,6,10
20200614,false,55,88,0,0,1127,1806,2,3
20200615,false,55,88,0,0,1128,1808,1,2
