date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreasePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreasePerMillion
20200227,false,0,0,0,0,0,0,0,0
20200228,false,0,0,0,0,0,0,0,0
20200229,false,0,0,0,0,0,0,0,0
20200301,false,0,0,0,0,0,0,0,0
20200302,false,0,0,0,0,0,0,0,0
20200303,false,0,0,0,0,0,0,0,0
20200304,false,0,0,0,0,0,0,0,0
20200305,false,0,0,0,0,0,0,0,0
20200306,false,0,0,0,0,1,0,1,0
20200307,false,0,0,0,0,1,0,0,0
20200308,false,0,0,0,0,2,0,1,0
20200309,false,0,0,0,0,2,0,0,0
20200310,false,0,0,0,0,6,1,4,1
20200311,false,0,0,0,0,10,1,4,1
20200312,false,0,0,0,0,12,2,2,0
20200313,false,0,0,0,0,12,2,0,0
20200314,false,0,0,0,0,15,2,3,0
20200315,false,0,0,0,0,19,3,4,1
20200316,false,1,0,1,0,24,4,5,1
20200317,false,2,0,1,0,30,4,6,1
20200318,false,2,0,0,0,39,6,9,1
20200319,false,2,0,0,0,56,8,17,3
20200320,false,2,0,0,0,79,12,23,3
20200321,false,4,1,2,0,126,19,47,7
20200322,false,6,1,2,0,201,30,75,11
20200323,false,7,1,1,0,259,38,58,9
20200324,false,12,2,5,1,365,54,106,16
20200325,false,14,2,2,0,477,71,112,17
20200326,false,17,3,3,0,645,96,168,25
20200327,false,24,4,7,1,981,146,336,50
20200328,false,31,5,7,1,1232,183,251,37
20200329,false,32,5,1,0,1514,225,282,42
20200330,false,35,5,3,0,1786,265,272,40
20200331,false,49,7,14,2,2159,321,373,55
20200401,false,65,10,16,2,2565,381,406,60
20200402,false,78,12,13,2,3039,451,474,70
20200403,false,102,15,24,4,3437,511,398,59
20200404,false,116,17,14,2,3953,587,516,77
20200405,false,127,19,11,2,4411,655,458,68
20200406,false,139,21,12,2,4944,734,533,79
20200407,false,173,26,34,5,5507,818,563,84
20200408,false,203,30,30,4,5943,883,436,65
20200409,false,245,36,42,6,6351,943,408,61
20200410,false,300,45,55,8,6907,1026,556,83
20200411,false,330,49,30,4,7435,1104,528,78
20200412,false,343,51,13,2,7928,1178,493,73
20200413,false,350,52,7,1,8236,1223,308,46
20200414,false,388,58,38,6,8527,1267,291,43
20200415,false,436,65,48,7,8955,1330,428,64
20200416,false,477,71,41,6,9542,1417,587,87
20200417,false,519,77,42,6,10154,1508,612,91
20200418,false,545,81,26,4,10641,1581,487,72
20200419,false,562,83,17,3,11210,1665,569,85
20200420,false,569,85,7,1,11686,1736,476,71
20200421,false,630,94,61,9,12097,1797,411,61
20200422,false,661,98,31,5,12438,1848,341,51
20200423,false,706,105,45,7,13039,1937,601,89
20200424,false,741,110,35,5,13680,2032,641,95
20200425,false,785,117,44,7,14395,2138,715,106
20200426,false,813,121,28,4,15012,2230,617,92
20200427,false,844,125,31,5,15961,2371,949,141
20200428,false,901,134,57,8,16588,2464,627,93
20200429,false,1065,158,164,24,17182,2552,594,88
20200430,false,1114,165,49,7,17835,2649,653,97
20200501,false,1175,175,61,9,18630,2767,795,118
20200502,false,1229,183,54,8,19295,2866,665,99
20200503,false,1246,185,17,3,19933,2961,638,95
20200504,false,1264,188,18,3,20507,3046,574,85
20200505,false,1326,197,62,9,21033,3124,526,78
20200506,false,1377,205,51,8,21870,3249,837,124
20200507,false,1414,210,37,5,22503,3343,633,94
20200508,false,1447,215,33,5,23146,3438,643,96
20200509,false,1490,221,43,6,23732,3525,586,87
20200510,false,1508,224,18,3,24126,3584,394,59
20200511,false,1540,229,32,5,24627,3658,501,74
20200512,false,1578,234,38,6,25127,3732,500,74
20200513,false,1619,240,41,6,25473,3784,346,51
20200514,false,1646,244,27,4,26053,3870,580,86
20200515,false,1691,251,45,7,26655,3959,602,89
20200516,false,1741,259,50,7,27280,4052,625,93
20200517,false,1751,260,10,1,27778,4126,498,74
20200518,false,1765,262,14,2,28255,4197,477,71
20200519,false,1824,271,59,9,28705,4264,450,67
20200520,false,1864,277,40,6,29274,4348,569,85
20200521,false,1913,284,49,7,29936,4447,662,98
20200522,false,1941,288,28,4,30409,4517,473,70
20200523,false,1943,289,2,0,30901,4590,492,73
20200524,false,1976,294,33,5,31376,4661,475,71
20200525,false,1976,294,0,0,31715,4711,339,50
20200526,false,2004,298,28,4,32078,4765,363,54
20200527,false,2030,302,26,4,32437,4818,359,53
20200528,false,2068,307,38,6,33068,4912,631,94
20200529,false,2110,313,42,6,33558,4985,490,73
20200530,false,2125,316,15,2,34211,5082,653,97
20200531,false,2134,317,9,1,34574,5136,363,54
20200601,false,2142,318,8,1,34830,5174,256,38
20200602,false,2197,326,55,8,35237,5234,407,60
20200603,false,2207,328,10,1,35712,5305,475,71
20200604,false,2231,331,24,4,36096,5362,384,57
20200605,false,2258,335,27,4,36578,5433,482,72
20200606,false,2292,340,34,5,36997,5496,419,62
20200607,false,2303,342,11,2,37397,5555,400,59
20200608,false,2316,344,13,2,37623,5588,226,34
20200609,false,2339,347,23,3,38033,5649,410,61
20200610,false,2355,350,16,2,38337,5695,304,45
20200611,false,2380,354,25,4,38748,5756,411,61
20200612,false,2396,356,16,2,39146,5815,398,59
20200613,false,2413,358,17,3,39543,5874,397,59
20200614,false,2422,360,9,1,39909,5928,366,54
20200615,false,2433,361,11,2,40430,6005,521,77
20200616,false,2447,363,14,2,40786,6058,356,53
20200617,false,2475,368,28,4,41013,6092,227,34
20200618,false,2491,370,16,2,41438,6155,425,63
20200619,false,2516,374,25,4,41746,6201,308,46
20200620,false,2536,377,20,3,42061,6248,315,47
20200621,false,2540,377,4,1,42423,6301,362,54
20200622,false,2553,379,13,2,42633,6333,210,31
20200623,false,2569,382,16,2,42871,6368,238,35
20200624,false,2578,383,9,1,43140,6408,269,40
20200625,false,2586,384,8,1,43655,6484,515,76
20200626,false,2595,385,9,1,44140,6557,485,72
20200627,false,2616,389,21,3,44575,6621,435,65
20200628,false,2619,389,3,0,44930,6674,355,53
20200629,false,2624,390,5,1,45228,6718,298,44
20200630,false,2640,392,16,2,45594,6773,366,54
20200701,false,2650,394,10,1,45952,6826,358,53
20200702,false,2662,395,12,2,46387,6890,435,65
20200703,false,2681,398,19,3,46915,6969,528,78
20200704,false,2687,399,6,1,47432,7046,517,77
20200705,false,2693,400,6,1,48008,7131,576,86
20200706,false,2698,401,5,1,48331,7179,323,48
20200707,false,2717,404,19,3,48626,7223,295,44
20200708,false,2732,406,15,2,49063,7288,437,65
20200709,false,2739,407,7,1,49575,7364,512,76
20200710,false,2748,408,9,1,50300,7472,725,108
