date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreasePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreasePerMillion
20200307,false,0,0,0,0,0,0,0,0
20200308,false,0,0,0,0,1,0,1,0
20200309,false,0,0,0,0,1,0,0,0
20200310,false,0,0,0,0,2,1,1,0
20200311,false,0,0,0,0,3,1,1,0
20200312,false,0,0,0,0,6,2,3,1
20200313,false,0,0,0,0,6,2,0,0
20200314,false,0,0,0,0,11,3,5,1
20200315,false,0,0,0,0,20,6,9,3
20200316,false,0,0,0,0,26,7,6,2
20200317,false,0,0,0,0,41,11,15,4
20200318,false,0,0,0,0,68,19,27,8
20200319,false,1,0,1,0,96,27,28,8
20200320,false,3,1,2,1,194,54,98,27
20200321,false,4,1,1,0,194,54,0,0
20200322,false,5,1,1,0,223,63,29,8
20200323,false,10,3,5,1,415,116,192,54
20200324,false,12,3,2,1,618,173,203,57
20200325,false,19,5,7,2,875,245,257,72
20200326,false,21,6,2,1,1012,284,137,38
20200327,false,27,8,6,2,1291,362,279,78
20200328,false,33,9,6,2,1524,427,233,65
20200329,false,34,10,1,0,1993,559,469,132
20200330,false,36,10,2,1,2571,721,578,162
20200331,false,69,19,33,9,3128,877,557,156
20200401,false,85,24,16,4,3557,998,429,120
20200402,false,112,31,27,8,3824,1073,267,75
20200403,false,131,37,19,5,4914,1378,1090,306
20200404,false,165,46,34,10,5276,1480,362,102
20200405,false,189,53,24,7,5675,1592,399,112
20200406,false,206,58,17,5,6906,1937,1231,345
20200407,false,277,78,71,20,7781,2182,875,245
20200408,false,277,78,0,0,7781,2182,0,0
20200409,false,380,107,103,29,9784,2744,2003,562
20200410,false,448,126,68,19,10538,2956,754,211
20200411,false,494,139,46,13,11510,3228,972,273
20200412,false,554,155,60,17,12035,3376,525,147
20200413,false,602,169,48,13,13381,3753,1346,378
20200414,false,671,188,69,19,13989,3924,608,171
20200415,false,868,243,197,55,14755,4139,766,215
20200416,false,971,272,103,29,15884,4455,1129,317
20200417,false,1036,291,65,18,16809,4715,925,259
20200418,false,1036,291,0,0,16809,4715,0,0
20200419,false,1086,305,50,14,17550,4922,741,208
20200420,false,1331,373,245,69,19815,5558,2265,635
20200421,false,1423,399,92,26,20360,5711,545,153
20200422,false,1544,433,121,34,22469,6302,2109,592
20200423,false,1639,460,95,27,23100,6479,631,177
20200424,false,1764,495,125,35,23921,6709,821,230
20200425,false,1862,522,98,27,24582,6895,661,185
20200426,false,1924,540,62,17,25269,7088,687,193
20200427,false,1998,560,74,21,25269,7088,0,0
20200428,false,2089,586,91,26,26312,7380,1043,293
20200429,false,2168,608,79,22,26767,7508,455,128
20200430,false,2257,633,89,25,27700,7769,933,262
20200501,false,2339,656,82,23,28764,8068,1064,298
20200502,false,2339,656,0,0,28764,8068,0,0
20200503,false,2436,683,97,27,29287,8214,523,147
20200504,false,2495,700,59,17,29287,8214,0,0
20200505,false,2633,739,138,39,30621,8589,1334,374
20200506,false,2718,762,85,24,30995,8694,374,105
20200507,false,2797,785,79,22,31784,8915,789,221
20200508,false,2874,806,77,22,32411,9091,627,176
20200509,false,2932,822,58,16,32984,9251,573,161
20200510,false,2967,832,35,10,33554,9411,570,160
20200511,false,3008,844,41,11,33765,9470,211,59
20200512,false,3041,853,33,9,34333,9630,568,159
20200513,false,3125,877,84,24,34855,9776,522,146
20200514,false,3219,903,94,26,35464,9947,609,171
20200515,false,3285,921,66,19,36085,10121,621,174
20200516,false,3339,937,54,15,36703,10295,618,173
20200517,false,3408,956,69,19,37419,10495,716,201
20200518,false,3449,967,41,11,38116,10691,697,195
20200519,false,3472,974,23,6,38430,10779,314,88
20200520,false,3529,990,57,16,39017,10944,587,165
20200521,false,3582,1005,53,15,39208,10997,191,54
20200522,false,3637,1020,55,15,39640,11118,432,121
20200523,false,3675,1031,38,11,40022,11225,382,107
20200524,false,3693,1036,18,5,40468,11351,446,125
20200525,false,3742,1050,49,14,40873,11464,405,114
20200526,false,3769,1057,27,8,41303,11585,430,121
20200527,false,3803,1067,34,10,41288,11581,-15,-4
20200528,false,3826,1073,23,6,41559,11657,271,76
20200529,false,3868,1085,42,12,41762,11714,203,57
20200530,false,3912,1097,44,12,42022,11786,260,73
20200531,false,3944,1106,32,9,42201,11837,179,50
20200601,false,3964,1112,20,6,42743,11989,542,152
20200602,false,3972,1114,8,2,42979,12055,236,66
20200603,false,3989,1119,17,5,43091,12086,112,31
20200604,false,4007,1124,18,5,43239,12128,148,42
20200605,false,4038,1133,31,9,43460,12190,221,62
20200606,false,4055,1137,17,5,43818,12290,358,100
20200607,false,4071,1142,16,4,43968,12332,150,42
20200608,false,4084,1145,13,4,44092,12367,124,35
20200609,false,4097,1149,13,4,44179,12391,87,24
20200610,false,4120,1156,23,6,44347,12439,168,47
20200611,false,4146,1163,26,7,44461,12471,114,32
20200612,false,4159,1167,13,4,44689,12534,228,64
20200613,false,4186,1174,27,8,44994,12620,305,86
20200614,false,4201,1178,15,4,45088,12646,94,26
20200615,false,4204,1179,3,1,45235,12688,147,41
20200616,false,4210,1181,6,2,45349,12720,114,32
20200617,false,4219,1183,9,3,45429,12742,80,22
20200618,false,4226,1185,7,2,45440,12745,11,3
20200619,false,4238,1189,12,3,45557,12778,117,33
20200620,false,4251,1192,13,4,45715,12822,158,44
