date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreasePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreasePerMillion
20200215,false,0,0,0,0,0,0,0,0
20200216,false,0,0,0,0,0,0,0,0
20200217,false,0,0,0,0,0,0,0,0
20200218,false,0,0,0,0,0,0,0,0
20200219,false,0,0,0,0,0,0,0,0
20200220,false,0,0,0,0,0,0,0,0
20200221,false,0,0,0,0,0,0,0,0
20200222,false,0,0,0,0,0,0,0,0
20200223,false,0,0,0,0,0,0,0,0
20200224,false,0,0,0,0,0,0,0,0
20200225,false,0,0,0,0,0,0,0,0
20200226,false,0,0,0,0,0,0,0,0
20200227,false,0,0,0,0,0,0,0,0
20200228,false,0,0,0,0,0,0,0,0
20200229,false,0,0,0,0,0,0,0,0
20200301,false,0,0,0,0,0,0,0,0
20200302,false,0,0,0,0,0,0,0,0
20200303,false,0,0,0,0,0,0,0,0
20200304,false,0,0,0,0,0,0,0,0
20200305,false,0,0,0,0,0,0,0,0
20200306,false,0,0,0,0,0,0,0,0
20200307,false,0,0,0,0,1,1,1,1
20200308,false,0,0,0,0,1,1,0,0
20200309,false,0,0,0,0,3,2,2,1
20200310,false,0,0,0,0,3,2,0,0
20200311,false,0,0,0,0,5,3,2,1
20200312,false,0,0,0,0,10,5,5,3
20200313,false,0,0,0,0,13,7,3,2
20200314,false,0,0,0,0,14,7,1,1
20200315,false,0,0,0,0,17,9,3,2
20200316,false,0,0,0,0,18,9,1,1
20200317,false,0,0,0,0,21,11,3,2
20200318,false,0,0,0,0,24,12,3,2
20200319,false,0,0,0,0,27,14,3,2
20200320,false,0,0,0,0,32,17,5,3
20200321,false,0,0,0,0,38,20,6,3
20200322,false,0,0,0,0,48,25,10,5
20200323,false,0,0,0,0,50,26,2,1
20200324,false,0,0,0,0,52,27,2,1
20200325,false,0,0,0,0,61,32,9,5
20200326,false,0,0,0,0,73,38,12,6
20200327,false,0,0,0,0,85,44,12,6
20200328,false,2,1,2,1,96,50,11,6
20200329,false,2,1,0,0,108,56,12,6
20200330,false,2,1,0,0,145,75,37,19
