date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreasePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreasePerMillion
20200306,false,0,0,0,0,0,0,0,0
20200307,false,0,0,0,0,0,0,0,0
20200308,false,0,0,0,0,0,0,0,0
20200309,false,0,0,0,0,0,0,0,0
20200310,false,0,0,0,0,0,0,0,0
20200311,false,0,0,0,0,0,0,0,0
20200312,false,0,0,0,0,0,0,0,0
20200313,false,0,0,0,0,0,0,0,0
20200314,false,0,0,0,0,0,0,0,0
20200315,false,0,0,0,0,0,0,0,0
20200316,false,0,0,0,0,0,0,0,0
20200317,false,0,0,0,0,0,0,0,0
20200318,false,0,0,0,0,1,1,1,1
20200319,false,0,0,0,0,2,1,1,1
20200320,false,0,0,0,0,7,4,5,3
20200321,false,0,0,0,0,11,6,4,2
20200322,false,0,0,0,0,12,7,1,1
20200323,false,0,0,0,0,16,9,4,2
20200324,false,0,0,0,0,20,11,4,2
20200325,false,0,0,0,0,39,22,19,11
20200326,false,0,0,0,0,51,29,12,7
20200327,false,0,0,0,0,76,43,25,14
20200328,false,0,0,0,0,96,54,20,11
20200329,false,0,0,0,0,113,63,17,10
20200330,false,1,1,1,1,126,71,13,7
20200331,false,1,1,0,0,162,91,36,20
20200401,false,1,1,0,0,191,107,29,16
20200402,false,2,1,1,1,217,121,26,15
20200403,false,2,1,0,0,237,133,20,11
20200404,false,2,1,0,0,282,158,45,25
20200405,false,3,2,1,1,324,181,42,24
20200406,false,4,2,1,1,345,193,21,12
20200407,false,4,2,0,0,412,231,67,37
20200408,false,4,2,0,0,462,259,50,28
20200409,false,5,3,1,1,523,293,61,34
20200410,false,5,3,0,0,554,310,31,17
20200411,false,5,3,0,0,577,323,23,13
20200412,false,8,4,3,2,611,342,34,19
20200413,false,9,5,1,1,626,350,15,8
20200414,false,9,5,0,0,640,358,14,8
20200415,false,10,6,1,1,702,393,62,35
20200416,false,13,7,3,2,739,414,37,21
20200417,false,13,7,0,0,754,422,15,8
20200418,false,16,9,3,2,785,439,31,17
20200419,false,18,10,2,1,863,483,78,44
20200420,false,24,13,6,3,902,505,39,22
20200421,false,26,15,2,1,914,511,12,7
20200422,false,26,15,0,0,939,525,25,14
20200423,false,29,16,3,2,967,541,28,16
20200424,false,32,18,3,2,988,553,21,12
20200425,false,32,18,0,0,1020,571,32,18
20200426,false,34,19,2,1,1044,584,24,13
20200427,false,36,20,2,1,1063,595,19,11
20200428,false,37,21,1,1,1079,604,16,9
20200429,false,38,21,1,1,1095,613,16,9
20200430,false,41,23,3,2,1118,626,23,13
20200501,false,46,26,5,3,1136,636,18,10
20200502,false,48,27,2,1,1169,654,33,18
20200503,false,50,28,2,1,1191,666,22,12
20200504,false,50,28,0,0,1206,675,15,8
20200505,false,50,28,0,0,1238,693,32,18
20200506,false,50,28,0,0,1248,698,10,6
20200507,false,51,29,1,1,1287,720,39,22
20200508,false,51,29,0,0,1310,733,23,13
20200509,false,53,30,2,1,1335,747,25,14
20200510,false,54,30,1,1,1360,761,25,14
20200511,false,54,30,0,0,1366,764,6,3
20200512,false,57,32,3,2,1371,767,5,3
20200513,false,58,32,1,1,1398,782,27,15
20200514,false,60,34,2,1,1427,798,29,16
20200515,false,62,35,2,1,1441,806,14,8
20200516,false,64,36,2,1,1457,815,16,9
20200517,false,67,37,3,2,1490,834,33,18
20200518,false,67,37,0,0,1491,834,1,1
20200519,false,68,38,1,1,1509,844,18,10
20200520,false,69,39,1,1,1545,865,36,20
20200521,false,70,39,1,1,1593,891,48,27
20200522,false,71,40,1,1,1616,904,23,13
20200523,false,72,40,1,1,1717,961,101,57
20200524,false,72,40,0,0,1759,984,42,24
20200525,false,72,40,0,0,1774,993,15,8
20200526,false,74,41,2,1,1854,1037,80,45
20200527,false,74,41,0,0,1867,1045,13,7
20200528,false,74,41,0,0,1906,1067,39,22
20200529,false,74,41,0,0,1951,1092,45,25
20200530,false,75,42,1,1,1974,1105,23,13
20200531,false,75,42,0,0,2010,1125,36,20
20200601,false,75,42,0,0,2017,1129,7,4
20200602,false,77,43,2,1,2041,1142,24,13
20200603,false,78,44,1,1,2071,1159,30,17
20200604,false,78,44,0,0,2092,1171,21,12
20200605,false,84,47,6,3,2119,1186,27,15
20200606,false,84,47,0,0,2131,1192,12,7
20200607,false,84,47,0,0,2144,1200,13,7
20200608,false,84,47,0,0,2153,1205,9,5
20200609,false,84,47,0,0,2169,1214,16,9
20200610,false,85,48,1,1,2188,1224,19,11
20200611,false,85,48,0,0,2212,1238,24,13
20200612,false,86,48,1,1,2233,1249,21,12
20200613,false,88,49,2,1,2259,1264,26,15
20200614,false,88,49,0,0,2289,1281,30,17
20200615,false,88,49,0,0,2298,1286,9,5
20200616,false,88,49,0,0,2341,1310,43,24
20200617,false,88,49,0,0,2376,1329,35,20
20200618,false,88,49,0,0,2418,1353,42,24
20200619,false,88,49,0,0,2435,1363,17,10
20200620,false,88,49,0,0,2486,1391,51,29
20200621,false,89,50,1,1,2543,1423,57,32
20200622,false,89,50,0,0,2552,1428,9,5
