date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreaseAverage,deathIncreasePerMillion,deathIncreaseAveragePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreaseAverage,positiveIncreasePerMillion,positiveIncreaseAveragePerMillion
20200306,false,0,0,0,0,0,0,1,0,0,0,0,0
20200307,false,0,0,0,0,0,0,2,0,1,1,0,0
20200308,false,0,0,0,0,0,0,2,0,0,0,0,0
20200309,false,0,0,0,0,0,0,5,1,3,3,1,1
20200310,false,0,0,0,0,0,0,11,2,6,6,1,1
20200311,false,0,0,0,0,0,0,21,4,10,10,2,2
20200312,false,0,0,0,0,0,0,43,8,22,22,4,4
20200313,false,0,0,0,0,0,0,62,11,19,19,3,3
20200314,false,0,0,0,0,0,0,90,16,28,9,5,2
20200315,false,0,0,0,0,0,0,128,23,38,13,7,2
20200316,false,0,0,0,0,0,0,179,32,51,18,9,3
20200317,false,0,0,0,0,0,0,246,44,67,25,12,4
20200318,false,0,0,0,0,0,0,269,48,23,34,4,6
20200319,false,0,0,0,0,0,0,287,51,18,35,3,6
20200320,false,0,0,0,0,0,0,303,54,16,35,3,6
20200321,false,1,0,1,0,0,0,327,58,24,34,4,6
20200322,false,1,0,0,0,0,0,349,62,22,34,4,6
20200323,false,1,0,0,0,0,0,393,70,44,32,8,6
20200324,false,1,0,0,0,0,0,444,79,51,31,9,5
20200325,false,1,0,0,0,0,0,502,89,58,28,10,5
20200326,false,2,0,1,0,0,0,565,100,63,33,11,6
20200327,false,4,1,2,0,0,0,640,113,75,40,13,7
20200328,false,5,1,1,1,0,0,687,122,47,48,8,9
20200329,false,9,2,4,1,1,0,725,129,38,51,7,9
20200330,false,10,2,1,1,0,0,823,146,98,54,17,10
20200331,false,12,2,2,1,0,0,916,162,93,61,16,11
20200401,false,17,3,5,2,1,0,973,173,57,67,10,12
20200402,false,18,3,1,2,0,0,1056,187,83,67,15,12
20200403,false,22,4,4,2,1,0,1119,198,63,70,11,12
20200404,false,24,4,2,3,0,1,1158,205,39,68,7,12
20200405,false,29,5,5,3,1,1,1217,216,59,67,10,12
20200406,false,30,5,1,3,0,1,1330,236,113,70,20,12
20200407,false,34,6,4,3,1,1,1432,254,102,72,18,13
20200408,false,39,7,5,3,1,1,1534,272,102,74,18,13
20200409,false,50,9,11,3,2,1,1637,290,103,80,18,14
20200410,false,57,10,7,5,1,1,1732,307,95,83,17,15
20200411,false,64,11,7,5,1,1,1806,320,74,88,13,16
20200412,false,70,12,6,6,1,1,1864,331,58,93,10,16
20200413,false,70,12,0,6,0,1,2012,357,148,92,26,16
20200414,false,79,14,9,6,2,1,2165,384,153,97,27,17
20200415,false,87,15,8,6,1,1,2321,412,156,105,28,19
20200416,false,94,17,7,7,1,1,2486,441,165,112,29,20
20200417,false,111,20,17,6,3,1,2668,473,182,121,32,21
20200418,false,121,21,10,8,2,1,2788,494,120,134,21,24
20200419,false,134,24,13,8,2,1,2914,517,126,140,22,25
20200420,false,143,25,9,9,2,2,3190,566,276,150,49,27
20200421,false,160,28,17,10,3,2,3452,612,262,168,46,30
20200422,false,179,32,19,12,3,2,3758,666,306,184,54,33
20200423,false,200,35,21,13,4,2,4270,757,512,205,91,36
20200424,false,221,39,21,15,4,3,4788,849,518,255,92,45
20200425,false,244,43,23,16,4,3,5127,909,339,303,60,54
20200426,false,272,48,28,18,5,3,5512,977,385,334,68,59
20200427,false,286,51,14,20,2,4,6187,1097,675,371,120,66
20200428,false,301,53,15,20,3,4,6788,1204,601,428,107,76
20200429,false,319,57,18,20,3,4,7468,1324,680,477,121,85
20200430,false,343,61,24,20,4,4,8116,1439,648,530,115,94
20200501,false,371,66,28,20,5,4,8736,1549,620,549,110,97
20200502,false,395,70,24,21,4,4,9071,1608,335,564,59,100
20200503,false,419,74,24,22,4,4,9411,1669,340,563,60,100
20200504,false,428,76,9,21,2,4,10235,1815,824,557,146,99
20200505,false,455,81,27,20,5,4,10876,1928,641,578,114,102
20200506,false,485,86,30,22,5,4,11510,2041,634,584,112,104
20200507,false,508,90,23,24,4,4,12328,2186,818,577,145,102
20200508,false,534,95,26,24,5,4,13040,2312,712,602,126,107
20200509,false,558,99,24,23,4,4,13321,2362,281,615,50,109
20200510,false,578,102,20,23,4,4,13552,2403,231,607,41,108
20200511,false,591,105,13,23,2,4,14379,2550,827,592,147,105
20200512,false,614,109,23,23,4,4,15043,2667,664,592,118,105
20200513,false,638,113,24,23,4,4,15772,2797,729,595,129,106
20200514,false,663,118,25,22,4,4,16565,2937,793,609,141,108
20200515,false,692,123,29,22,5,4,17363,3079,798,605,141,107
20200516,false,709,126,17,23,3,4,17705,3139,342,618,61,110
20200517,false,731,130,22,22,4,4,18016,3195,311,626,55,111
20200518,false,740,131,9,22,2,4,18987,3367,971,638,172,113
20200519,false,757,134,17,21,3,4,19842,3518,855,658,152,117
20200520,false,786,139,29,20,5,4,20609,3654,767,686,136,122
20200521,false,818,145,32,21,6,4,21582,3827,973,691,173,123
20200522,false,851,151,33,22,6,4,22374,3967,792,717,140,127
20200523,false,861,153,10,23,2,4,22765,4037,391,716,69,127
20200524,false,878,156,17,22,3,4,23121,4100,356,723,63,128
20200525,false,890,158,12,21,2,4,23524,4171,403,729,71,129
20200526,false,908,161,18,21,3,4,24308,4310,784,648,139,115
20200527,false,942,167,34,22,6,4,24988,4431,680,638,121,113
20200528,false,977,173,35,22,6,4,25559,4532,571,626,101,111
20200529,false,1006,178,29,23,5,4,26013,4613,454,568,81,101
20200530,false,1036,184,30,22,5,4,26181,4642,168,520,30,92
20200531,false,1050,186,14,25,2,4,26322,4667,141,488,25,87
20200601,false,1060,188,10,25,2,4,26897,4769,575,457,102,81
20200602,false,1082,192,22,24,4,4,27376,4854,479,482,85,85
20200603,false,1097,195,15,25,3,4,27889,4945,513,438,91,78
20200604,false,1126,200,29,22,5,4,28290,5016,401,414,71,73
20200605,false,1159,206,33,21,6,4,28688,5087,398,390,71,69
20200606,false,1181,209,22,22,4,4,28853,5116,165,382,29,68
20200607,false,1197,212,16,21,3,4,28988,5140,135,382,24,68
20200608,false,1208,214,11,21,2,4,29436,5219,448,381,79,68
20200609,false,1228,218,20,21,4,4,29866,5296,430,363,76,64
20200610,false,1267,225,39,21,7,4,30199,5355,333,356,59,63
20200611,false,1280,227,13,24,2,4,30418,5394,219,330,39,59
20200612,false,1305,231,25,22,4,4,30463,5402,45,304,8,54
20200613,false,1314,233,9,21,2,4,30465,5402,2,254,0,45
20200614,false,1329,236,15,19,3,3,30471,5403,6,230,1,41
20200615,false,1335,237,6,19,1,3,30693,5442,222,212,39,38
20200616,false,1344,238,9,18,2,3,30882,5476,189,180,34,32
20200617,false,1357,241,13,17,2,3,31296,5549,414,145,73,26
20200618,false,1376,244,19,13,3,2,31675,5617,379,157,67,28
20200619,false,1393,247,17,14,3,2,32031,5680,356,180,63,32
20200620,false,1404,249,11,13,2,2,32467,5757,436,224,77,40
20200621,false,1412,250,8,13,1,2,32920,5837,453,286,80,51
20200622,false,1416,251,4,12,1,2,33227,5892,307,350,54,62
20200623,false,1425,253,9,12,2,2,33469,5935,242,362,43,64
20200624,false,1432,254,7,12,1,2,33763,5987,294,370,52,66
20200625,false,1441,256,9,11,2,2,34123,6051,360,352,64,62
20200626,false,1446,256,5,9,1,2,34616,6138,493,350,87,62
20200627,false,1452,257,6,8,1,1,35033,6212,417,369,74,65
20200628,false,1460,259,8,7,1,1,35549,6303,516,367,91,65
