date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreaseAverage,deathIncreasePerMillion,deathIncreaseAveragePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreaseAverage,positiveIncreasePerMillion,positiveIncreaseAveragePerMillion
20200306,false,0,0,0,0,0,0,0,0,0,0,0,0
20200307,false,0,0,0,0,0,0,0,0,0,0,0,0
20200308,false,0,0,0,0,0,0,0,0,0,0,0,0
20200309,false,0,0,0,0,0,0,0,0,0,0,0,0
20200310,false,0,0,0,0,0,0,0,0,0,0,0,0
20200311,false,0,0,0,0,0,0,1,1,1,1,1,1
20200312,false,0,0,0,0,0,0,4,4,3,3,3,3
20200313,false,0,0,0,0,0,0,4,4,0,0,0,0
20200314,false,0,0,0,0,0,0,6,6,2,1,2,1
20200315,false,0,0,0,0,0,0,6,6,0,1,0,1
20200316,false,0,0,0,0,0,0,8,8,2,1,2,1
20200317,false,0,0,0,0,0,0,16,16,8,1,8,1
20200318,false,0,0,0,0,0,0,25,26,9,2,9,2
20200319,false,0,0,0,0,0,0,30,31,5,3,5,3
20200320,false,0,0,0,0,0,0,38,39,8,4,8,4
20200321,false,0,0,0,0,0,0,45,46,7,5,7,5
20200322,false,0,0,0,0,0,0,56,58,11,6,11,6
20200323,false,0,0,0,0,0,0,68,70,12,7,12,7
20200324,false,1,1,1,0,1,0,91,93,23,9,24,9
20200325,false,2,2,1,0,1,0,115,118,24,11,25,11
20200326,false,3,3,1,0,1,0,130,134,15,13,15,13
20200327,false,5,5,2,0,2,0,163,167,33,14,34,14
20200328,false,9,9,4,1,4,1,214,220,51,18,52,18
20200329,false,10,10,1,1,1,1,232,238,18,24,18,25
20200330,false,11,11,1,1,1,1,264,271,32,25,33,26
20200331,false,12,12,1,2,1,2,319,328,55,28,56,29
20200401,false,13,13,1,2,1,2,368,378,49,33,50,34
20200402,false,16,16,3,2,3,2,393,404,25,36,26,37
20200403,false,17,17,1,2,1,2,450,462,57,38,59,39
20200404,false,17,17,0,2,0,2,593,609,143,41,147,42
20200405,false,19,20,2,1,2,1,673,691,80,54,82,55
20200406,false,24,25,5,1,5,1,673,691,0,63,0,65
20200407,false,28,29,4,2,4,2,928,953,255,58,262,60
20200408,false,32,33,4,2,4,2,928,953,0,87,0,89
20200409,false,34,35,2,3,2,3,1207,1240,279,80,287,82
20200410,false,36,37,2,3,2,3,1326,1362,119,116,122,119
20200411,false,43,44,7,3,7,3,1479,1519,153,125,157,128
20200412,false,48,49,5,4,5,4,1479,1519,0,127,0,130
20200413,false,53,54,5,4,5,4,1625,1669,146,115,150,118
20200414,false,60,62,7,4,7,4,1761,1808,136,136,140,140
20200415,false,67,69,7,5,7,5,2014,2068,253,119,260,122
20200416,false,70,72,3,5,3,5,2075,2131,61,155,63,159
20200417,false,76,78,6,5,6,5,2323,2386,248,124,255,127
20200418,false,86,88,10,6,10,6,2323,2386,0,142,0,146
20200419,false,90,92,4,6,4,6,2538,2606,215,121,221,124
20200420,false,99,102,9,6,9,6,2745,2819,207,151,213,155
20200421,false,104,107,5,7,5,7,2931,3010,186,160,191,164
20200422,false,117,120,13,6,13,6,3200,3286,269,167,276,171
20200423,false,131,135,14,7,14,7,3308,3397,108,169,111,174
20200424,false,147,151,16,9,16,9,3442,3535,134,176,138,181
20200425,false,155,159,8,10,8,10,3576,3672,134,160,138,164
20200426,false,168,173,13,10,13,10,4034,4143,458,179,470,184
20200427,false,181,186,13,11,13,11,4162,4274,128,214,131,220
20200428,false,192,197,11,12,11,12,4575,4698,413,202,424,207
20200429,false,204,209,12,13,12,13,4655,4780,80,235,82,241
20200430,false,210,216,6,12,6,12,4734,4862,79,208,81,214
20200501,false,222,228,12,11,12,11,4918,5051,184,204,189,209
20200502,false,235,241,13,11,13,11,5038,5174,120,211,123,217
20200503,false,246,253,11,11,11,11,5208,5348,170,209,175,215
20200504,false,255,262,9,11,9,11,5288,5430,80,168,82,173
20200505,false,266,273,11,11,11,11,5371,5516,83,161,85,165
20200506,false,269,276,3,11,3,11,5778,5934,407,114,418,117
20200507,false,285,293,16,9,16,9,5939,6099,161,160,165,164
20200508,false,297,305,12,11,12,11,6111,6276,172,172,177,177
20200509,false,301,309,4,11,4,11,6277,6446,166,170,170,175
20200510,false,312,320,11,9,11,9,6447,6621,170,177,175,182
20200511,false,324,333,12,9,12,9,6565,6742,118,177,121,182
20200512,false,334,343,10,10,10,10,6741,6923,176,182,181,187
20200513,false,351,360,17,10,17,10,6952,7139,211,196,217,201
20200514,false,362,372,11,12,11,12,7223,7418,271,168,278,173
20200515,false,373,383,11,11,11,11,7373,7572,150,183,154,188
20200516,false,383,393,10,11,10,11,7547,7750,174,180,179,185
20200517,false,392,403,9,12,9,12,7670,7877,123,181,126,186
20200518,false,399,410,7,11,7,11,7869,8081,199,175,204,180
20200519,false,408,419,9,11,9,11,8037,8254,168,186,173,191
20200520,false,414,425,6,11,6,11,8194,8415,157,185,161,190
20200521,false,417,428,3,9,3,9,8386,8612,192,177,197,182
20200522,false,420,431,3,8,3,8,8529,8759,143,166,147,170
20200523,false,425,436,5,7,5,7,8690,8924,161,165,165,169
20200524,false,431,443,6,6,6,6,8809,9046,119,163,122,167
20200525,false,436,448,5,6,5,6,8965,9207,156,163,160,167
20200526,false,444,456,8,5,8,5,9066,9310,101,157,104,161
20200527,false,453,465,9,5,9,5,9096,9341,30,147,31,151
20200528,false,459,471,6,6,6,6,9171,9418,75,129,77,132
20200529,false,463,475,4,6,4,6,9236,9485,65,112,67,115
20200530,false,466,479,3,6,3,6,9422,9676,186,101,191,104
20200531,false,468,481,2,6,2,6,9498,9754,76,105,78,108
20200601,false,471,484,3,5,3,5,9605,9864,107,98,110,101
20200602,false,471,484,0,5,0,5,9685,9946,80,91,82,93
20200603,false,475,488,4,4,4,4,9712,9974,27,88,28,90
20200604,false,483,496,8,3,8,3,9746,10009,34,88,35,90
20200605,false,485,498,2,3,2,3,9773,10036,27,82,28,84
20200606,false,485,498,0,3,0,3,9845,10110,72,77,74,79
20200607,false,488,501,3,3,3,3,9942,10210,97,60,100,62
20200608,false,490,503,2,3,2,3,9972,10241,30,63,31,65
20200609,false,492,505,2,3,2,3,10020,10290,48,52,49,53
20200610,false,493,506,1,3,1,3,10056,10327,36,48,37,49
20200611,false,494,507,1,3,1,3,10106,10378,50,49,51,50
20200612,false,494,507,0,2,0,2,10173,10447,67,51,69,52
20200613,false,495,508,1,1,1,1,10229,10505,56,57,58,59
20200614,false,496,509,1,1,1,1,10264,10541,35,55,36,56
20200615,false,498,511,2,1,2,1,10340,10619,76,46,78,47
20200616,false,499,512,1,1,1,1,10403,10683,63,53,65,54
20200617,false,502,516,3,1,3,1,10444,10725,41,55,42,56
20200618,false,502,516,0,1,0,1,10499,10782,55,55,56,56
20200619,false,504,518,2,1,2,1,10611,10897,112,56,115,58
20200620,false,504,518,0,1,0,1,10681,10969,70,63,72,65
20200621,false,504,518,0,1,0,1,10775,11065,94,65,97,67
20200622,false,504,518,0,1,0,1,10820,11112,45,73,46,75
20200623,false,504,518,0,1,0,1,10847,11139,27,69,28,71
20200624,false,505,519,1,1,1,1,10889,11182,42,63,43,65
20200625,false,507,521,2,0,2,0,10980,11276,91,64,93,66
20200626,false,507,521,0,1,0,1,11017,11314,37,69,38,71
20200627,false,507,521,0,0,0,0,11091,11390,74,58,76,60
20200628,false,507,521,0,0,0,0,11226,11528,135,59,139,61
20200629,false,507,521,0,0,0,0,11376,11683,150,64,154,66
20200630,false,509,523,2,0,2,0,11474,11783,98,79,101,81
20200701,false,509,523,0,1,0,1,11510,11820,36,90,37,92
20200702,false,510,524,1,1,1,1,11731,12047,221,89,227,91
20200703,false,512,526,2,0,2,0,11923,12244,192,107,197,110
20200704,false,512,526,0,1,0,1,11996,12319,73,129,75,132
20200705,false,512,526,0,1,0,1,12128,12455,132,129,136,132
20200706,false,512,526,0,1,0,1,12293,12624,165,129,169,132
20200707,false,514,528,2,1,2,1,12414,12748,121,131,124,135
20200708,false,515,529,1,1,1,1,12462,12798,48,134,49,138
20200709,false,517,531,2,1,2,1,12531,12869,69,136,71,140
20200710,false,517,531,0,1,0,1,12652,12993,121,114,124,117
20200711,false,517,531,0,1,0,1,12743,13086,91,104,93,107
20200712,false,517,531,0,1,0,1,12804,13149,61,107,63,110
20200713,false,517,531,0,1,0,1,12879,13226,75,97,77,100
20200714,false,518,532,1,1,1,1,12969,13318,90,84,92,86
20200715,false,521,535,3,1,3,1,13050,13402,81,79,83,81
20200716,false,521,535,0,1,0,1,13114,13467,64,84,66,86
20200717,false,521,535,0,1,0,1,13337,13696,223,83,229,85
20200718,false,523,537,2,1,2,1,13429,13791,92,98,94,101
20200719,false,523,537,0,1,0,1,13519,13883,90,98,92,101
20200720,false,523,537,0,1,0,1,13519,13883,0,102,0,105
20200721,false,525,539,2,1,2,1,13746,14116,227,91,233,93
20200722,false,527,541,2,1,2,1,13792,14164,46,111,47,114
20200723,false,529,543,2,1,2,1,13924,14299,132,106,136,109
20200724,false,578,594,49,1,50,1,14202,14585,278,116,285,119
20200725,false,579,595,1,8,1,8,14175,14557,-27,124,-28,127
20200726,false,579,595,0,8,0,8,14290,14675,115,107,118,110
20200727,false,579,595,0,8,0,8,14406,14794,116,110,119,113
20200728,false,580,596,1,8,1,8,14476,14866,70,127,72,130
20200729,false,581,597,1,8,1,8,14602,14995,126,104,129,107
20200730,false,581,597,0,8,0,8,14689,15085,87,116,89,119
20200731,false,585,601,4,7,4,7,14788,15186,99,109,102,112
20200801,false,585,601,0,1,0,1,14877,15278,89,84,91,86
20200802,false,585,601,0,1,0,1,14949,15352,72,100,74,103
20200803,false,585,601,0,1,0,1,15055,15461,106,94,109,97
20200804,false,587,603,2,1,2,1,15137,15545,82,93,84,96
20200805,false,587,603,0,1,0,1,15296,15708,159,94,163,97
20200806,false,587,603,0,1,0,1,15365,15779,69,99,71,102
20200807,false,588,604,1,1,1,1,15445,15861,80,97,82,100
20200808,false,590,606,2,0,2,0,15502,15920,57,94,59,97
20200809,false,591,607,1,1,1,1,15575,15995,73,89,75,91
20200810,false,591,607,0,1,0,1,15634,16055,59,89,61,91
20200811,false,591,607,0,1,0,1,15699,16122,65,83,67,85
20200812,false,591,607,0,1,0,1,15699,16122,0,80,0,82
20200813,false,593,609,2,1,2,1,15967,16397,268,58,275,60
20200814,false,593,609,0,1,0,1,16340,16780,373,86,383,88
20200815,false,593,609,0,1,0,1,16396,16838,56,128,58,131
20200816,false,593,609,0,0,0,0,16451,16894,55,128,56,131
20200817,false,593,609,0,0,0,0,16536,16982,85,125,87,128
20200818,false,593,609,0,0,0,0,16593,17040,57,129,59,132
20200819,false,595,611,2,0,2,0,16643,17091,50,128,51,131
20200820,false,595,611,0,1,0,1,16718,17168,75,135,77,139
20200821,false,600,616,5,0,5,0,16770,17222,52,107,53,110
20200822,false,600,616,0,1,0,1,16828,17281,58,61,60,63
20200823,false,600,616,0,1,0,1,16895,17350,67,62,69,64
20200824,false,604,620,4,1,4,1,16942,17398,47,63,48,65
20200825,false,603,619,-1,2,-1,2,16962,17419,20,58,21,60
20200826,false,604,620,1,1,1,1,16986,17444,24,53,25,54
20200827,false,604,620,0,1,0,1,16976,17433,-10,49,-10,50
20200828,false,604,620,0,1,0,1,17083,17543,107,37,110,38
20200829,false,604,620,0,1,0,1,17349,17816,266,45,273,46
