date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreaseAverage,deathIncreasePerMillion,deathIncreaseAveragePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreaseAverage,positiveIncreasePerMillion,positiveIncreaseAveragePerMillion
20200306,false,0,0,0,0,0,0,0,0,0,0,0,0
20200307,false,0,0,0,0,0,0,0,0,0,0,0,0
20200308,false,0,0,0,0,0,0,0,0,0,0,0,0
20200309,false,0,0,0,0,0,0,0,0,0,0,0,0
20200310,false,0,0,0,0,0,0,0,0,0,0,0,0
20200311,false,0,0,0,0,0,0,3,1,3,3,1,1
20200312,false,0,0,0,0,0,0,5,2,2,2,1,1
20200313,false,0,0,0,0,0,0,10,5,5,5,2,2
20200314,false,0,0,0,0,0,0,10,5,0,1,0,0
20200315,false,0,0,0,0,0,0,13,6,3,1,1,0
20200316,false,0,0,0,0,0,0,17,8,4,2,2,1
20200317,false,0,0,0,0,0,0,23,11,6,2,3,1
20200318,false,0,0,0,0,0,0,28,13,5,3,2,1
20200319,false,0,0,0,0,0,0,35,17,7,4,3,2
20200320,false,0,0,0,0,0,0,43,21,8,4,4,2
20200321,false,0,0,0,0,0,0,57,27,14,5,7,2
20200322,false,0,0,0,0,0,0,57,27,0,7,0,3
20200323,false,0,0,0,0,0,0,65,31,8,6,4,3
20200324,false,0,0,0,0,0,0,83,40,18,7,9,3
20200325,false,1,0,1,0,0,0,100,48,17,9,8,4
20200326,false,1,0,0,0,0,0,112,53,12,10,6,5
20200327,false,1,0,0,0,0,0,136,65,24,11,11,5
20200328,false,1,0,0,0,0,0,191,91,55,13,26,6
20200329,false,2,1,1,0,0,0,237,113,46,19,22,9
20200330,false,2,1,0,0,0,0,237,113,0,26,0,12
20200331,false,4,2,2,0,1,0,281,134,44,25,21,12
20200401,false,5,2,1,1,0,0,315,150,34,28,16,13
20200402,false,6,3,1,1,0,0,363,173,48,31,23,15
20200403,false,7,3,1,1,0,0,403,192,40,36,19,17
20200404,false,10,5,3,1,1,0,495,236,92,38,44,18
20200405,false,11,5,1,1,0,0,543,259,48,43,23,21
20200406,false,12,6,1,1,0,0,624,298,81,44,39,21
20200407,false,12,6,0,1,0,0,686,327,62,55,30,26
20200408,false,13,6,1,1,0,0,794,379,108,58,52,28
20200409,false,16,8,3,1,1,0,865,413,71,68,34,32
20200410,false,19,9,3,1,1,0,1091,520,226,72,108,34
20200411,false,19,9,0,2,0,1,1091,520,0,98,0,47
20200412,false,20,10,1,1,0,0,1174,560,83,85,40,41
20200413,false,26,12,6,1,3,0,1245,594,71,90,34,43
20200414,false,31,15,5,2,2,1,1345,641,100,89,48,42
20200415,false,36,17,5,3,2,1,1407,671,62,94,30,45
20200416,false,36,17,0,3,0,1,1484,708,77,88,37,42
20200417,false,44,21,8,3,4,1,1597,762,113,88,54,42
20200418,false,51,24,7,4,3,2,1711,816,114,72,54,34
20200419,false,53,25,2,5,1,2,1798,857,87,89,41,42
20200420,false,55,26,2,5,1,2,1845,880,47,89,22,42
20200421,false,58,28,3,4,1,2,1971,940,126,86,60,41
20200422,false,65,31,7,4,3,2,2072,988,101,89,48,42
20200423,false,71,34,6,4,3,2,2210,1054,138,95,66,45
20200424,false,78,37,7,5,3,2,2379,1135,169,104,81,50
20200425,false,84,40,6,5,3,2,2521,1202,142,112,68,53
20200426,false,93,44,9,5,4,2,2660,1269,139,116,66,55
20200427,false,99,47,6,6,3,3,2726,1300,66,123,31,59
20200428,false,104,50,5,6,2,3,2823,1346,97,126,46,60
20200429,false,110,52,6,7,3,3,2974,1418,151,122,72,58
20200430,false,112,53,2,6,1,3,3213,1532,239,129,114,62
20200501,false,123,59,11,6,5,3,3411,1627,198,143,94,68
20200502,false,131,62,8,6,4,3,3513,1675,102,147,49,70
20200503,false,139,66,8,7,4,3,3732,1780,219,142,104,68
20200504,false,151,72,12,7,6,3,3850,1836,118,153,56,73
20200505,false,156,74,5,7,2,3,4031,1922,181,161,86,77
20200506,false,162,77,6,7,3,3,4138,1973,107,173,51,83
20200507,false,169,81,7,7,3,3,4291,2046,153,166,73,79
20200508,false,172,82,3,8,1,4,4493,2143,202,154,96,73
20200509,false,181,86,9,7,4,3,4673,2229,180,155,86,74
20200510,false,191,91,10,7,5,3,4778,2279,105,166,50,79
20200511,false,200,95,9,7,4,3,4863,2319,85,149,41,71
20200512,false,208,99,8,7,4,3,5069,2417,206,145,98,69
20200513,false,219,104,11,7,5,3,5212,2486,143,148,68,71
20200514,false,231,110,12,8,6,4,5364,2558,152,153,72,73
20200515,false,242,115,11,9,5,4,5503,2624,139,153,66,73
20200516,false,253,121,11,10,5,5,5662,2700,159,144,76,69
20200517,false,259,124,6,10,3,5,5857,2793,195,141,93,67
20200518,false,265,126,6,10,3,5,5938,2832,81,154,39,73
20200519,false,270,129,5,9,2,4,6096,2907,158,154,75,73
20200520,false,276,132,6,9,3,4,6192,2953,96,147,46,70
20200521,false,283,135,7,8,3,4,6317,3013,125,140,60,67
20200522,false,294,140,11,7,5,3,6472,3087,155,136,74,65
20200523,false,302,144,8,7,4,3,6625,3160,153,138,73,66
20200524,false,308,147,6,7,3,3,6795,3241,170,138,81,66
20200525,false,317,151,9,7,4,3,6943,3311,148,134,71,64
20200526,false,320,153,3,7,1,3,7026,3351,83,144,40,69
20200527,false,325,155,5,7,2,3,7130,3400,104,133,50,63
20200528,false,329,157,4,7,2,3,7252,3459,122,134,58,64
20200529,false,335,160,6,7,3,3,7364,3512,112,134,53,64
20200530,false,344,164,9,6,4,3,7493,3573,129,127,62,61
20200531,false,351,167,7,6,3,3,7624,3636,131,124,62,59
20200601,false,356,170,5,6,2,3,7689,3667,65,118,31,56
20200602,false,362,173,6,6,3,3,7800,3720,111,107,53,51
20200603,false,367,175,5,6,2,3,8024,3827,224,111,107,53
20200604,false,375,179,8,6,4,3,8140,3882,116,128,55,61
20200605,false,383,183,8,7,4,3,8353,3984,213,127,102,61
20200606,false,387,185,4,7,2,3,8672,4136,319,141,152,67
20200607,false,392,187,5,6,2,3,8800,4197,128,168,61,80
20200608,false,396,189,4,6,2,3,8940,4264,140,168,67,80
20200609,false,400,191,4,6,2,3,9062,4322,122,179,58,85
20200610,false,404,193,4,5,2,2,9105,4342,43,180,21,86
20200611,false,410,196,6,5,3,2,9250,4411,145,154,69,73
20200612,false,426,203,16,5,8,2,9526,4543,276,159,132,76
20200613,false,426,203,0,6,0,3,9526,4543,0,168,0,80
20200614,false,431,206,5,6,2,3,9621,4588,95,122,45,58
20200615,false,435,207,4,6,2,3,9723,4637,102,117,49,56
20200616,false,440,210,5,6,2,3,9845,4695,122,112,58,53
20200617,false,447,213,7,6,3,3,9933,4737,88,112,42,53
20200618,false,452,216,5,6,2,3,10065,4800,132,118,63,56
20200619,false,456,217,4,6,2,3,10153,4842,88,116,42,55
20200620,false,464,221,8,4,4,2,10260,4893,107,90,51,43
20200621,false,469,224,5,5,2,2,10565,5039,305,105,145,50
20200622,false,469,224,0,5,0,2,10565,5039,0,135,0,64
20200623,false,469,224,0,5,0,2,10694,5100,129,120,62,57
20200624,false,476,227,7,4,3,2,10838,5169,144,121,69,58
20200625,false,480,229,4,4,2,2,10990,5241,152,129,72,62
20200626,false,485,231,5,4,2,2,11192,5338,202,132,96,63
20200627,false,489,233,4,4,2,2,11408,5441,216,148,103,71
20200628,false,491,234,2,4,1,2,11619,5541,211,164,101,78
20200629,false,492,235,1,3,0,1,11809,5632,190,151,91,72
20200630,false,493,235,1,3,0,1,11982,5714,173,178,83,85
20200701,false,497,237,4,3,2,1,12147,5793,165,184,79,88
20200702,false,500,238,3,3,1,1,12276,5855,129,187,62,89
20200703,false,503,240,3,3,1,1,12520,5971,244,184,116,88
20200704,false,511,244,8,3,4,1,12776,6093,256,190,122,91
20200705,false,513,245,2,3,1,1,13063,6230,287,195,137,93
20200706,false,513,245,0,3,0,1,13256,6322,193,206,92,98
20200707,false,515,246,2,3,1,1,13507,6442,251,207,120,99
20200708,false,519,248,4,3,2,1,13727,6547,220,218,105,104
20200709,false,527,251,8,3,4,1,14017,6685,290,226,138,108
20200710,false,533,254,6,4,3,2,14251,6796,234,249,112,119
20200711,false,539,257,6,4,3,2,14549,6939,298,247,142,118
20200712,false,543,259,4,4,2,2,14773,7045,224,253,107,121
20200713,false,545,260,2,4,1,2,15028,7167,255,244,122,116
20200714,false,548,261,3,5,1,2,15291,7292,263,253,125,121
20200715,false,551,263,3,5,1,2,15514,7399,223,255,106,122
20200716,false,557,266,6,5,3,2,15841,7555,327,255,156,122
20200717,false,562,268,5,4,2,2,16138,7696,297,261,142,124
20200718,false,565,269,3,4,1,2,16456,7848,318,270,152,129
20200719,false,569,271,4,4,2,2,16736,7982,280,272,134,130
20200720,false,571,272,2,4,1,2,16971,8094,235,280,112,134
20200721,false,578,276,7,4,3,2,17215,8210,244,278,116,133
20200722,false,588,280,10,4,5,2,17517,8354,302,275,144,131
20200723,false,591,282,3,5,1,2,17828,8502,311,286,148,136
20200724,false,596,284,5,5,2,2,18163,8662,335,284,160,135
20200725,false,601,287,5,5,2,2,18475,8811,312,289,149,138
20200726,false,607,289,6,5,3,2,18788,8960,313,288,149,137
20200727,false,614,293,7,5,3,2,19042,9081,254,293,121,140
20200728,false,619,295,5,6,2,3,19502,9301,460,296,219,141
20200729,false,626,299,7,6,3,3,19791,9439,289,327,138,156
20200730,false,632,301,6,5,3,2,20136,9603,345,325,165,155
20200731,false,635,303,3,6,1,3,20388,9723,252,330,120,157
20200801,false,642,306,7,6,3,3,20600,9824,212,318,101,152
20200802,false,651,310,9,6,4,3,20796,9918,196,304,93,145
20200803,false,654,312,3,6,1,3,21016,10023,220,287,105,137
20200804,false,655,312,1,6,0,3,21130,10077,114,282,54,134
20200805,false,658,314,3,5,1,2,21340,10177,210,233,100,111
20200806,false,667,318,9,5,4,2,21566,10285,226,221,108,105
20200807,false,669,319,2,5,1,2,21773,10384,207,204,99,97
20200808,false,675,322,6,5,3,2,21965,10475,192,198,92,94
20200809,false,681,325,6,5,3,2,22115,10547,150,195,72,93
20200810,false,685,327,4,4,2,2,22315,10642,200,188,95,90
20200811,false,690,329,5,4,2,2,22444,10704,129,186,62,89
20200812,false,693,330,3,5,1,2,22643,10799,199,188,95,90
20200813,false,695,331,2,5,1,2,22816,10881,173,186,83,89
20200814,false,697,332,2,4,1,2,22987,10963,171,179,82,85
20200815,false,703,335,6,4,3,2,23160,11045,173,173,83,83
20200816,false,711,339,8,4,4,2,23302,11113,142,171,68,82
20200817,false,714,341,3,4,1,2,23408,11164,106,170,51,81
20200818,false,718,342,4,4,2,2,23500,11207,92,156,44,74
20200819,false,723,345,5,4,2,2,23579,11245,79,151,38,72
20200820,false,729,348,6,4,3,2,23749,11326,170,134,81,64
20200821,false,734,350,5,5,2,2,23951,11422,202,133,96,63
20200822,false,739,352,5,5,2,2,24095,11491,144,138,69,66
20200823,false,743,354,4,5,2,2,24302,11590,207,134,99,64
20200824,false,745,355,2,5,1,2,24396,11635,94,143,45,68
20200825,false,747,356,2,4,1,2,24469,11670,73,141,35,67
20200826,false,750,358,3,4,1,2,24535,11701,66,138,31,66
20200827,false,755,360,5,4,2,2,24732,11795,197,137,94,65
20200828,false,764,364,9,4,4,2,24920,11885,188,140,90,67
20200829,false,767,366,3,4,1,2,25042,11943,122,138,58,66
20200830,false,769,367,2,4,1,2,25178,12008,136,135,65,64
