date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreaseAverage,deathIncreasePerMillion,deathIncreaseAveragePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreaseAverage,positiveIncreasePerMillion,positiveIncreaseAveragePerMillion
20200307,false,0,0,0,0,0,0,1,0,0,0,0,0
20200308,false,0,0,0,0,0,0,1,0,0,0,0,0
20200309,false,0,0,0,0,0,0,1,0,0,0,0,0
20200310,false,0,0,0,0,0,0,2,1,1,1,0,0
20200311,false,0,0,0,0,0,0,2,1,0,0,0,0
20200312,false,0,0,0,0,0,0,3,1,1,1,0,0
20200313,false,0,0,0,0,0,0,3,1,0,0,0,0
20200314,false,0,0,0,0,0,0,4,1,1,1,0,0
20200315,false,0,0,0,0,0,0,9,2,5,0,1,0
20200316,false,0,0,0,0,0,0,10,3,1,1,0,0
20200317,false,0,0,0,0,0,0,17,4,7,1,2,0
20200318,false,0,0,0,0,0,0,29,7,12,2,3,1
20200319,false,1,0,1,0,0,0,44,11,15,4,4,1
20200320,false,1,0,0,0,0,0,49,12,5,6,1,2
20200321,false,1,0,0,0,0,0,53,13,4,7,1,2
20200322,false,2,1,1,0,0,0,67,17,14,7,4,2
20200323,false,2,1,0,0,0,0,81,20,14,8,4,2
20200324,false,3,1,1,0,0,0,106,27,25,10,6,3
20200325,false,5,1,2,0,1,0,164,41,58,13,15,3
20200326,false,7,2,2,1,1,0,248,63,84,19,21,5
20200327,false,8,2,1,1,0,0,322,81,74,29,19,7
20200328,false,15,4,7,1,2,0,377,95,55,39,14,10
20200329,false,16,4,1,2,0,1,429,108,52,46,13,12
20200330,false,17,4,1,2,0,1,481,122,52,52,13,13
20200331,false,23,6,6,2,2,1,565,143,84,57,21,14
20200401,false,30,8,7,3,2,1,719,182,154,66,39,17
20200402,false,34,9,4,4,1,1,879,222,160,79,40,20
20200403,false,38,10,4,4,1,1,988,250,109,90,28,23
20200404,false,42,11,4,4,1,1,1159,293,171,95,43,24
20200405,false,46,12,4,4,1,1,1252,316,93,112,24,28
20200406,false,51,13,5,4,1,1,1327,335,75,118,19,30
20200407,false,67,17,16,5,4,1,1472,372,145,121,37,31
20200408,false,79,20,12,6,3,2,1524,385,52,130,13,33
20200409,false,80,20,1,7,0,2,1684,426,160,115,40,29
20200410,false,88,22,8,7,2,2,1794,453,110,115,28,29
20200411,false,94,24,6,7,2,2,1868,472,74,115,19,29
20200412,false,96,24,2,7,1,2,1970,498,102,101,26,26
20200413,false,99,25,3,7,1,2,2069,523,99,103,25,26
20200414,false,108,27,9,7,2,2,2184,552,115,106,29,27
20200415,false,123,31,15,6,4,2,2263,572,79,102,20,26
20200416,false,131,33,8,6,2,2,2357,596,94,106,24,27
20200417,false,136,34,5,7,1,2,2465,623,108,96,27,24
20200418,false,139,35,3,7,1,2,2570,649,105,96,27,24
20200419,false,140,35,1,6,0,2,2599,657,29,100,7,25
20200420,false,143,36,3,6,1,2,2680,677,81,90,20,23
20200421,false,164,41,21,6,5,2,2807,709,127,87,32,22
20200422,false,170,43,6,8,2,2,2894,731,87,89,22,22
20200423,false,179,45,9,7,2,2,3017,762,123,90,31,23
20200424,false,188,48,9,7,2,2,3121,789,104,94,26,24
20200425,false,194,49,6,7,2,2,3193,807,72,94,18,24
20200426,false,195,49,1,8,0,2,3253,822,60,89,15,22
20200427,false,197,50,2,8,1,2,3280,829,27,93,7,24
20200428,false,207,52,10,8,3,2,3410,862,130,86,33,22
20200429,false,214,54,7,6,2,2,3473,878,63,86,16,22
20200430,false,222,56,8,6,2,2,3618,914,145,83,37,21
20200501,false,230,58,8,6,2,2,3748,947,130,86,33,22
20200502,false,238,60,8,6,2,2,3851,973,103,90,26,23
20200503,false,238,60,0,6,0,2,3972,1004,121,94,31,24
20200504,false,238,60,0,6,0,2,4044,1022,72,103,18,26
20200505,false,247,62,9,6,2,2,4127,1043,83,109,21,28
20200506,false,253,64,6,6,2,2,4201,1062,74,102,19,26
20200507,false,260,66,7,6,2,2,4330,1094,129,104,33,26
20200508,false,266,67,6,5,2,1,4424,1118,94,102,24,26
20200509,false,270,68,4,5,1,1,4490,1135,66,97,17,25
20200510,false,272,69,2,5,1,1,4589,1160,99,91,25,23
20200511,false,274,69,2,5,1,1,4613,1166,24,88,6,22
20200512,false,278,70,4,5,1,1,4732,1196,119,81,30,20
20200513,false,278,70,0,4,0,1,4852,1226,120,86,30,22
20200514,false,284,72,6,4,2,1,4962,1254,110,93,28,24
20200515,false,285,72,1,3,0,1,5086,1285,124,90,31,23
20200516,false,288,73,3,3,1,1,5237,1323,151,95,38,24
20200517,false,288,73,0,3,0,1,5310,1342,73,107,18,27
20200518,false,288,73,0,2,0,1,5398,1364,88,103,22,26
20200519,false,294,74,6,2,2,1,5489,1387,91,112,23,28
20200520,false,299,76,5,2,1,1,5532,1398,43,108,11,27
20200521,false,304,77,5,3,1,1,5680,1435,148,97,37,25
20200522,false,307,78,3,3,1,1,5849,1478,169,103,43,26
20200523,false,311,79,4,3,1,1,5960,1506,111,109,28,28
20200524,false,311,79,0,3,0,1,6037,1526,77,103,19,26
20200525,false,313,79,2,3,1,1,6090,1539,53,104,13,26
20200526,false,318,80,5,4,1,1,6137,1551,47,99,12,25
20200527,false,322,81,4,3,1,1,6229,1574,92,93,23,24
20200528,false,326,82,4,3,1,1,6270,1585,41,100,10,25
20200529,false,329,83,3,3,1,1,6338,1602,68,84,17,21
20200530,false,334,84,5,3,1,1,6418,1622,80,70,20,18
20200531,false,334,84,0,3,0,1,6506,1644,88,65,22,16
20200601,false,334,84,0,3,0,1,6573,1661,67,67,17,17
20200602,false,339,86,5,3,1,1,6692,1691,119,69,30,17
20200603,false,341,86,2,3,1,1,6805,1720,113,79,29,20
20200604,false,344,87,3,3,1,1,6907,1746,102,82,26,21
20200605,false,344,87,0,3,0,1,6907,1746,0,91,0,23
20200606,false,345,87,1,2,0,1,7003,1770,96,81,24,20
20200607,false,348,88,3,2,1,1,7150,1807,147,84,37,21
20200608,false,348,88,0,2,0,1,7205,1821,55,92,14,23
20200609,false,353,89,5,2,1,1,7363,1861,158,90,40,23
20200610,false,355,90,2,2,1,1,7480,1890,117,96,30,24
20200611,false,357,90,2,2,1,1,7626,1927,146,96,37,24
20200612,false,359,91,2,2,1,1,7848,1983,222,103,56,26
20200613,false,359,91,0,2,0,1,8073,2040,225,134,57,34
20200614,false,359,91,0,2,0,1,8231,2080,158,153,40,39
20200615,false,359,91,0,2,0,1,8417,2127,186,154,47,39
20200616,false,363,92,4,2,1,1,8645,2185,228,173,58,44
20200617,false,364,92,1,1,0,0,8904,2250,259,183,65,46
20200618,false,366,92,2,1,1,0,9354,2364,450,203,114,51
20200619,false,367,93,1,1,0,0,9706,2453,352,247,89,62
20200620,false,368,93,1,1,0,0,10037,2537,331,265,84,67
20200621,false,369,93,1,1,0,0,10515,2657,478,281,121,71
20200622,false,369,93,0,1,0,0,10733,2712,218,326,55,82
20200623,false,371,94,2,1,1,0,11028,2787,295,331,75,84
20200624,false,372,94,1,1,0,0,11510,2909,482,340,122,86
20200625,false,375,95,3,1,1,0,11948,3019,438,372,111,94
20200626,false,377,95,2,1,1,0,12343,3119,395,371,100,94
20200627,false,384,97,7,1,2,0,12642,3195,299,377,76,95
20200628,false,385,97,1,2,0,1,12944,3271,302,372,76,94
20200629,false,385,97,0,2,0,1,13172,3329,228,347,58,88
20200630,false,387,98,2,2,1,1,13757,3477,585,348,148,88
20200701,false,389,98,2,2,1,1,14112,3566,355,390,90,99
20200702,false,395,100,6,2,2,1,14539,3674,427,372,108,94
20200703,false,398,101,3,3,1,1,15065,3807,526,370,133,94
20200704,false,398,101,0,3,0,1,15645,3954,580,389,147,98
20200705,false,398,101,0,2,0,1,15928,4025,283,429,72,108
20200706,false,399,101,1,2,0,1,16362,4135,434,426,110,108
20200707,false,404,102,5,2,1,1,17220,4352,858,456,217,115
20200708,false,407,103,3,2,1,1,17893,4522,673,495,170,125
20200709,false,410,104,3,3,1,1,18496,4674,603,540,152,136
20200710,false,416,105,6,2,2,1,19092,4825,596,565,151,143
20200711,false,421,106,5,3,1,1,19779,4999,687,575,174,145
20200712,false,422,107,1,3,0,1,20235,5114,456,591,115,149
20200713,false,424,107,2,3,1,1,20745,5243,510,615,129,155
20200714,false,428,108,4,4,1,1,21738,5494,993,626,251,158
20200715,false,432,109,4,3,1,1,22813,5765,1075,645,272,163
20200716,false,438,111,6,4,2,1,23441,5924,628,703,159,178
20200717,false,445,112,7,4,2,1,24140,6101,699,706,177,178
20200718,false,451,114,6,4,2,1,25056,6332,916,721,231,182
20200719,false,451,114,0,4,0,1,25265,6385,209,754,53,191
20200720,false,452,114,1,4,0,1,25433,6427,168,719,42,182
20200721,false,461,117,9,4,2,1,26326,6653,893,670,226,169
20200722,false,474,120,13,5,3,1,27301,6899,975,655,246,166
20200723,false,477,121,3,6,1,2,27969,7068,668,641,169,162
20200724,false,484,122,7,6,2,2,29116,7358,1147,647,290,164
20200725,false,496,125,12,6,3,2,30081,7602,965,711,244,180
20200726,false,496,125,0,6,0,2,31285,7906,1204,718,304,181
20200727,false,496,125,0,6,0,2,32686,8260,1401,860,354,217
20200728,false,509,129,13,6,3,2,33775,8536,1089,1036,275,262
20200729,false,523,132,14,7,4,2,34623,8750,848,1064,214,269
20200730,false,536,135,13,7,3,2,35740,9032,1117,1046,282,264
20200731,false,541,137,5,8,1,2,36487,9221,747,1110,189,281
20200801,false,549,139,8,8,2,2,37731,9535,1244,1053,314,266
20200802,false,550,139,1,8,0,2,38225,9660,494,1093,125,276
20200803,false,551,139,1,8,0,2,38602,9755,377,991,95,250
20200804,false,566,143,15,8,4,2,39463,9973,861,845,218,214
20200805,false,583,147,17,8,4,2,40564,10251,1101,813,278,205
20200806,false,593,150,10,9,3,2,41401,10463,837,849,212,215
20200807,false,600,152,7,8,2,2,42255,10679,854,809,216,204
20200808,false,603,152,3,8,1,2,43080,10887,825,824,208,208
20200809,false,603,152,0,8,0,2,43566,11010,486,764,123,193
20200810,false,605,153,2,8,1,2,43963,11110,397,763,100,193
20200811,false,618,156,13,8,3,2,44728,11304,765,766,193,194
20200812,false,627,158,9,7,2,2,45398,11473,670,752,169,190
20200813,false,638,161,11,6,3,2,46103,11651,705,691,178,175
20200814,false,644,163,6,6,2,2,46897,11852,794,672,201,170
20200815,false,657,166,13,6,3,2,47798,12079,901,663,228,168
