date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreaseAverage,deathIncreasePerMillion,deathIncreaseAveragePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreaseAverage,positiveIncreasePerMillion,positiveIncreaseAveragePerMillion
20200307,false,0,0,0,0,0,0,0,0,0,0,0,0
20200308,false,0,0,0,0,0,0,0,0,0,0,0,0
20200309,false,0,0,0,0,0,0,0,0,0,0,0,0
20200310,false,0,0,0,0,0,0,0,0,0,0,0,0
20200311,false,0,0,0,0,0,0,0,0,0,0,0,0
20200312,false,0,0,0,0,0,0,0,0,0,0,0,0
20200313,false,0,0,0,0,0,0,1,0,1,1,0,0
20200314,false,0,0,0,0,0,0,6,1,5,5,1,1
20200315,false,0,0,0,0,0,0,12,2,6,1,1,0
20200316,false,0,0,0,0,0,0,28,6,16,2,3,0
20200317,false,0,0,0,0,0,0,36,7,8,4,2,1
20200318,false,0,0,0,0,0,0,46,9,10,5,2,1
20200319,false,0,0,0,0,0,0,68,14,22,7,4,1
20200320,false,0,0,0,0,0,0,81,17,13,10,3,2
20200321,false,0,0,0,0,0,0,124,25,43,11,9,2
20200322,false,0,0,0,0,0,0,138,28,14,17,3,3
20200323,false,0,0,0,0,0,0,167,34,29,18,6,4
20200324,false,0,0,0,0,0,0,215,44,48,20,10,4
20200325,false,0,0,0,0,0,0,283,58,68,26,14,5
20200326,false,1,0,1,0,0,0,506,103,223,34,45,7
20200327,false,3,1,2,0,0,0,587,120,81,63,17,13
20200328,false,3,1,0,0,0,0,696,142,109,72,22,15
20200329,false,4,1,1,0,0,0,806,164,110,82,22,17
20200330,false,6,1,2,1,0,0,859,175,53,95,11,19
20200331,false,13,3,7,1,1,0,981,200,122,99,25,20
20200401,false,26,5,13,2,3,0,1077,220,96,109,20,22
20200402,false,32,7,6,4,1,1,1233,251,156,113,32,23
20200403,false,35,7,3,4,1,1,1432,292,199,104,41,21
20200404,false,43,9,8,5,2,1,1580,322,148,121,30,25
20200405,false,45,9,2,6,0,1,1796,366,216,126,44,26
20200406,false,50,10,5,6,1,1,1968,401,172,141,35,29
20200407,false,56,11,6,6,1,1,2119,432,151,158,31,32
20200408,false,66,13,10,6,2,1,2369,483,250,163,51,33
20200409,false,74,15,8,6,2,1,2769,565,400,185,82,38
20200410,false,80,16,6,6,1,1,2968,605,199,219,41,45
20200411,false,91,19,11,6,2,1,3191,651,223,219,45,45
20200412,false,93,19,2,7,0,1,3525,719,334,230,68,47
20200413,false,99,20,6,7,1,1,3734,762,209,247,43,50
20200414,false,110,22,11,7,2,1,3876,791,142,252,29,51
20200415,false,121,25,11,8,2,2,4113,839,237,251,48,51
20200416,false,133,27,12,8,2,2,4345,886,232,249,47,51
20200417,false,144,29,11,8,2,2,4530,924,185,225,38,46
20200418,false,146,30,2,9,0,2,4655,949,125,223,25,45
20200419,false,154,31,8,8,2,2,4837,987,182,209,37,43
20200420,false,167,34,13,9,3,2,5025,1025,188,187,38,38
20200421,false,177,36,10,10,2,2,5231,1067,206,184,42,38
20200422,false,194,40,17,10,3,2,5465,1115,234,194,48,40
20200423,false,197,40,3,10,1,2,5778,1178,313,193,64,39
20200424,false,197,40,0,9,0,2,5832,1189,54,205,11,42
20200425,false,212,43,15,8,3,2,6137,1252,305,186,62,38
20200426,false,216,44,4,9,1,2,6270,1279,133,212,27,43
20200427,false,222,45,6,9,1,2,6499,1325,229,205,47,42
20200428,false,242,49,20,8,4,2,6687,1364,188,211,38,43
20200429,false,245,50,3,9,1,2,6842,1395,155,208,32,42
20200430,false,269,55,24,7,5,1,7019,1432,177,197,36,40
20200501,false,279,57,10,10,2,2,7158,1460,139,177,28,36
20200502,false,288,59,9,12,2,2,7434,1516,276,189,56,39
20200503,false,290,59,2,11,0,2,7725,1576,291,185,59,38
20200504,false,296,60,6,11,1,2,8025,1637,300,208,61,42
20200505,false,313,64,17,11,3,2,8285,1690,260,218,53,44
20200506,false,340,69,27,10,6,2,8581,1750,296,228,60,47
20200507,false,349,71,9,14,2,3,8898,1815,317,248,65,51
20200508,false,375,76,26,11,5,2,9221,1881,323,268,66,55
20200509,false,388,79,13,14,3,3,9567,1951,346,295,71,60
20200510,false,393,80,5,14,1,3,9777,1994,210,305,43,62
