date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreaseAverage,deathIncreasePerMillion,deathIncreaseAveragePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreaseAverage,positiveIncreasePerMillion,positiveIncreaseAveragePerMillion
20200303,false,0,0,0,0,0,0,0,0,0,0,0,0
20200304,false,0,0,0,0,0,0,0,0,0,0,0,0
20200305,false,0,0,0,0,0,0,0,0,0,0,0,0
20200306,false,0,0,0,0,0,0,0,0,0,0,0,0
20200307,false,0,0,0,0,0,0,0,0,0,0,0,0
20200308,false,0,0,0,0,0,0,1,2,1,1,2,2
20200309,false,0,0,0,0,0,0,1,2,0,0,0,0
20200310,false,0,0,0,0,0,0,1,2,0,0,0,0
20200311,false,0,0,0,0,0,0,1,2,0,0,0,0
20200312,false,0,0,0,0,0,0,2,3,1,0,2,0
20200313,false,0,0,0,0,0,0,2,3,0,0,0,0
20200314,false,0,0,0,0,0,0,5,8,3,0,5,0
20200315,false,0,0,0,0,0,0,8,13,3,1,5,2
20200316,false,0,0,0,0,0,0,12,19,4,1,6,2
20200317,false,0,0,0,0,0,0,17,27,5,2,8,3
20200318,false,0,0,0,0,0,0,19,30,2,2,3,3
20200319,false,0,0,0,0,0,0,21,34,2,3,3,5
20200320,false,2,3,2,0,3,0,28,45,7,3,11,5
20200321,false,2,3,0,0,0,0,44,71,16,4,26,6
20200322,false,2,3,0,0,0,0,52,83,8,6,13,10
20200323,false,5,8,3,0,5,0,76,122,24,6,38,10
20200324,false,7,11,2,1,3,2,97,155,21,9,34,14
20200325,false,8,13,1,1,2,2,125,200,28,11,45,18
20200326,false,9,14,1,1,2,2,160,256,35,15,56,24
20200327,false,10,16,1,1,2,2,185,296,25,20,40,32
20200328,false,12,19,2,1,3,2,213,341,28,22,45,35
20200329,false,12,19,0,1,0,2,234,375,21,24,34,38
20200330,false,12,19,0,1,0,2,256,410,22,26,35,42
20200331,false,13,21,1,1,2,2,293,470,37,26,59,42
20200401,false,16,26,3,1,5,2,320,513,27,28,43,45
20200402,false,17,27,1,1,2,2,359,575,39,28,63,45
20200403,false,17,27,0,1,0,2,390,625,31,28,50,45
20200404,false,20,32,3,1,5,2,460,737,70,29,112,46
20200405,false,22,35,2,1,3,2,512,821,52,35,83,56
20200406,false,23,37,1,1,2,2,543,870,31,40,50,64
20200407,false,23,37,0,2,0,3,575,921,32,41,51,66
20200408,false,23,37,0,1,0,2,608,974,33,40,53,64
20200409,false,23,37,0,1,0,2,631,1011,23,41,37,66
20200410,false,24,38,1,1,2,2,680,1090,49,39,79,63
20200411,false,25,40,1,1,2,2,713,1143,33,41,53,66
20200412,false,27,43,2,1,3,2,733,1175,20,36,32,58
20200413,false,28,45,1,1,2,2,754,1208,21,32,34,51
20200414,false,29,46,1,1,2,2,761,1220,7,30,11,48
20200415,false,30,48,1,1,2,2,770,1234,9,27,14,43
20200416,false,35,56,5,1,8,2,779,1248,9,23,14,37
20200417,false,35,56,0,2,0,3,792,1269,13,21,21,34
20200418,false,38,61,3,2,5,3,802,1285,10,16,16,26
20200419,false,38,61,0,2,0,3,813,1303,11,13,18,21
20200420,false,38,61,0,2,0,3,817,1309,4,11,6,18
20200421,false,40,64,2,1,3,2,820,1314,3,9,5,14
20200422,false,40,64,0,2,0,3,828,1327,8,8,13,13
20200423,false,43,69,3,1,5,2,831,1332,3,8,5,13
20200424,false,44,71,1,1,2,2,834,1337,3,7,5,11
20200425,false,46,74,2,1,3,2,843,1351,9,6,14,10
20200426,false,46,74,0,1,0,2,852,1365,9,6,14,10
20200427,false,47,75,1,1,2,2,855,1370,3,6,5,10
20200428,false,47,75,0,1,0,2,862,1381,7,5,11,8
20200429,false,47,75,0,1,0,2,862,1381,0,6,0,10
20200430,false,49,79,2,1,3,2,866,1388,4,5,6,8
20200501,false,50,80,1,1,2,2,879,1409,13,5,21,8
20200502,false,51,82,1,1,2,2,885,1418,6,6,10,10
20200503,false,52,83,1,1,2,2,896,1436,11,6,18,10
20200504,false,52,83,0,1,0,2,901,1444,5,6,8,10
20200505,false,52,83,0,1,0,2,906,1452,5,7,8,11
20200506,false,52,83,0,1,0,2,909,1457,3,6,5,10
20200507,false,53,85,1,1,2,2,914,1465,5,7,8,11
20200508,false,53,85,0,1,0,2,916,1468,2,7,3,11
20200509,false,53,85,0,0,0,0,918,1471,2,5,3,8
20200510,false,53,85,0,0,0,0,926,1484,8,5,13,8
20200511,false,53,85,0,0,0,0,926,1484,0,4,0,6
20200512,false,53,85,0,0,0,0,927,1486,1,4,2,6
20200513,false,53,85,0,0,0,0,929,1489,2,3,3,5
20200514,false,53,85,0,0,0,0,930,1490,1,3,2,5
20200515,false,53,85,0,0,0,0,931,1492,1,2,2,3
20200516,false,53,85,0,0,0,0,932,1494,1,2,2,3
20200517,false,54,87,1,0,2,0,940,1506,8,2,13,3
20200518,false,54,87,0,0,0,0,940,1506,0,2,0,3
20200519,false,54,87,0,0,0,0,944,1513,4,2,6,3
20200520,false,54,87,0,0,0,0,945,1514,1,2,2,3
20200521,false,54,87,0,0,0,0,950,1522,5,2,8,3
20200522,false,54,87,0,0,0,0,952,1526,2,3,3,5
20200523,false,54,87,0,0,0,0,954,1529,2,3,3,5
20200524,false,54,87,0,0,0,0,957,1534,3,3,5,5
20200525,false,54,87,0,0,0,0,963,1543,6,2,10,3
20200526,false,54,87,0,0,0,0,968,1551,5,3,8,5
20200527,false,54,87,0,0,0,0,970,1555,2,3,3,5
20200528,false,55,88,1,0,2,0,974,1561,4,4,6,6
20200529,false,55,88,0,0,0,0,975,1563,1,3,2,5
20200530,false,55,88,0,0,0,0,977,1566,2,3,3,5
20200531,false,55,88,0,0,0,0,981,1572,4,3,6,5
20200601,false,55,88,0,0,0,0,985,1579,4,3,6,5
20200602,false,55,88,0,0,0,0,987,1582,2,3,3,5
20200603,false,55,88,0,0,0,0,989,1585,2,3,3,5
20200604,false,55,88,0,0,0,0,1025,1643,36,3,58,5
20200605,false,55,88,0,0,0,0,1027,1646,2,7,3,11
20200606,false,55,88,0,0,0,0,1044,1673,17,7,27,11
20200607,false,55,88,0,0,0,0,1061,1700,17,10,27,16
20200608,false,55,88,0,0,0,0,1073,1720,12,11,19,18
20200609,false,55,88,0,0,0,0,1081,1732,8,13,13,21
20200610,false,55,88,0,0,0,0,1092,1750,11,13,18,21
20200611,false,55,88,0,0,0,0,1108,1776,16,15,26,24
20200612,false,55,88,0,0,0,0,1118,1792,10,12,16,19
20200613,false,55,88,0,0,0,0,1123,1800,5,13,8,21
20200614,false,55,88,0,0,0,0,1125,1803,2,11,3,18
20200615,false,55,88,0,0,0,0,1126,1805,1,9,2,14
20200616,false,55,88,0,0,0,0,1129,1809,3,8,5,13
20200617,false,55,88,0,0,0,0,1129,1809,0,7,0,11
20200618,false,56,90,1,0,2,0,1135,1819,6,5,10,8
20200619,false,56,90,0,0,0,0,1143,1832,8,4,13,6
20200620,false,56,90,0,0,0,0,1147,1838,4,4,6,6
20200621,false,56,90,0,0,0,0,1159,1857,12,3,19,5
20200622,false,56,90,0,0,0,0,1163,1864,4,5,6,8
20200623,false,56,90,0,0,0,0,1165,1867,2,5,3,8
20200624,false,56,90,0,0,0,0,1185,1899,20,5,32,8
20200625,false,56,90,0,0,0,0,1192,1910,7,8,11,13
20200626,false,56,90,0,0,0,0,1199,1922,7,8,11,13
20200627,false,56,90,0,0,0,0,1201,1925,2,8,3,13
20200628,false,56,90,0,0,0,0,1204,1930,3,8,5,13
20200629,false,56,90,0,0,0,0,1210,1939,6,6,10,10
20200630,false,56,90,0,0,0,0,1210,1939,0,7,0,11
20200701,false,56,90,0,0,0,0,1212,1942,2,6,3,10
20200702,false,56,90,0,0,0,0,1229,1970,17,4,27,6
20200703,false,56,90,0,0,0,0,1238,1984,9,5,14,8
20200704,false,56,90,0,0,0,0,1240,1987,2,6,3,10
20200705,false,56,90,0,0,0,0,1251,2005,11,6,18,10
20200706,false,56,90,0,0,0,0,1253,2008,2,7,3,11
20200707,false,56,90,0,0,0,0,1256,2013,3,6,5,10
20200708,false,56,90,0,0,0,0,1258,2016,2,7,3,11
20200709,false,56,90,0,0,0,0,1272,2038,14,7,22,11
20200710,false,56,90,0,0,0,0,1277,2047,5,6,8,10
20200711,false,56,90,0,0,0,0,1282,2055,5,6,8,10
20200712,false,56,90,0,0,0,0,1295,2075,13,6,21,10
20200713,false,56,90,0,0,0,0,1301,2085,6,6,10,10
20200714,false,56,90,0,0,0,0,1305,2091,4,7,6,11
20200715,false,56,90,0,0,0,0,1317,2111,12,7,19,11
20200716,false,56,90,0,0,0,0,1327,2127,10,8,16,13
20200717,false,56,90,0,0,0,0,1336,2141,9,8,14,13
20200718,false,56,90,0,0,0,0,1339,2146,3,8,5,13
20200719,false,56,90,0,0,0,0,1349,2162,10,8,16,13
20200720,false,56,90,0,0,0,0,1359,2178,10,8,16,13
20200721,false,56,90,0,0,0,0,1366,2189,7,8,11,13
20200722,false,56,90,0,0,0,0,1368,2192,2,9,3,14
20200723,false,56,90,0,0,0,0,1379,2210,11,7,18,11
20200724,false,56,90,0,0,0,0,1384,2218,5,7,8,11
20200725,false,56,90,0,0,0,0,1397,2239,13,7,21,11
20200726,false,56,90,0,0,0,0,1401,2245,4,8,6,13
20200727,false,56,90,0,0,0,0,1403,2248,2,7,3,11
20200728,false,56,90,0,0,0,0,1406,2253,3,6,5,10
20200729,false,56,90,0,0,0,0,1407,2255,1,6,2,10
20200730,false,57,91,1,0,2,0,1408,2256,1,6,2,10
20200731,false,57,91,0,0,0,0,1416,2269,8,4,13,6
20200801,false,57,91,0,0,0,0,1421,2277,5,5,8,8
20200802,false,57,91,0,0,0,0,1425,2284,4,3,6,5
20200803,false,57,91,0,0,0,0,1426,2285,1,3,2,5
20200804,false,57,91,0,0,0,0,1431,2293,5,3,8,5
20200805,false,57,91,0,0,0,0,1436,2301,5,4,8,6
20200806,false,58,93,1,0,2,0,1446,2317,10,4,16,6
20200807,false,58,93,0,0,0,0,1447,2319,1,5,2,8
20200808,false,58,93,0,0,0,0,1453,2329,6,4,10,6
20200809,false,58,93,0,0,0,0,1458,2337,5,5,8,8
