date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreaseAverage,deathIncreasePerMillion,deathIncreaseAveragePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreaseAverage,positiveIncreasePerMillion,positiveIncreaseAveragePerMillion
20200307,false,0,0,0,0,0,0,0,0,0,0,0,0
20200308,false,0,0,0,0,0,0,0,0,0,0,0,0
20200309,false,0,0,0,0,0,0,0,0,0,0,0,0
20200310,false,0,0,0,0,0,0,0,0,0,0,0,0
20200311,false,0,0,0,0,0,0,0,0,0,0,0,0
20200312,false,0,0,0,0,0,0,1,1,1,1,1,1
20200313,false,0,0,0,0,0,0,1,1,0,0,0,0
20200314,false,0,0,0,0,0,0,1,1,0,0,0,0
20200315,false,0,0,0,0,0,0,1,1,0,0,0,0
20200316,false,0,0,0,0,0,0,1,1,0,0,0,0
20200317,false,0,0,0,0,0,0,1,1,0,0,0,0
20200318,false,0,0,0,0,0,0,6,8,5,0,7,0
20200319,false,0,0,0,0,0,0,15,20,9,1,12,1
20200320,false,0,0,0,0,0,0,20,26,5,2,7,3
20200321,false,0,0,0,0,0,0,28,37,8,3,10,4
20200322,false,0,0,0,0,0,0,28,37,0,4,0,5
20200323,false,0,0,0,0,0,0,30,39,2,4,3,5
20200324,false,0,0,0,0,0,0,33,43,3,4,4,5
20200325,false,0,0,0,0,0,0,39,51,6,5,8,7
20200326,false,0,0,0,0,0,0,52,68,13,5,17,7
20200327,false,0,0,0,0,0,0,61,80,9,5,12,7
20200328,false,1,1,1,0,1,0,80,105,19,6,25,8
20200329,false,1,1,0,0,0,0,97,127,17,7,22,9
20200330,false,2,3,1,0,1,0,107,140,10,10,13,13
20200331,false,3,4,1,0,1,0,117,154,10,11,13,14
20200401,false,3,4,0,0,0,0,139,182,22,12,29,16
20200402,false,3,4,0,0,0,0,159,209,20,14,26,18
20200403,false,3,4,0,0,0,0,173,227,14,15,18,20
20200404,false,3,4,0,0,0,0,186,244,13,16,17,21
20200405,false,3,4,0,0,0,0,207,272,21,15,28,20
20200406,false,3,4,0,0,0,0,225,295,18,16,24,21
20200407,false,4,5,1,0,1,0,237,311,12,17,16,22
20200408,false,4,5,0,0,0,0,251,329,14,17,18,22
20200409,false,5,7,1,0,1,0,269,353,18,16,24,21
20200410,false,6,8,1,0,1,0,278,365,9,16,12,21
20200411,false,7,9,1,0,1,0,293,384,15,15,20,20
20200412,false,8,10,1,1,1,1,308,404,15,15,20,20
20200413,false,8,10,0,1,0,1,331,434,23,14,30,18
20200414,false,9,12,1,1,1,1,341,447,10,15,13,20
20200415,false,9,12,0,1,0,1,364,478,23,15,30,20
20200416,false,9,12,0,1,0,1,392,514,28,16,37,21
20200417,false,9,12,0,1,0,1,438,575,46,18,60,24
20200418,false,9,12,0,0,0,0,528,693,90,23,118,30
20200419,false,10,13,1,0,1,0,584,766,56,34,73,45
20200420,false,13,17,3,0,4,0,626,821,42,39,55,51
20200421,false,13,17,0,1,0,1,644,845,18,42,24,55
20200422,false,14,18,1,1,1,1,677,888,33,43,43,56
20200423,false,15,20,1,1,1,1,709,930,32,45,42,59
20200424,false,15,20,0,1,0,1,747,980,38,45,50,59
20200425,false,16,21,1,1,1,1,803,1054,56,44,73,58
20200426,false,17,22,1,1,1,1,867,1138,64,39,84,51
20200427,false,19,25,2,1,3,1,942,1236,75,40,98,52
20200428,false,19,25,0,1,0,1,991,1300,49,45,64,59
20200429,false,19,25,0,1,0,1,1033,1356,42,50,55,66
20200430,false,19,25,0,1,0,1,1067,1400,34,51,45,67
20200501,false,23,30,4,1,5,1,1107,1453,40,51,52,67
20200502,false,24,31,1,1,1,1,1153,1513,46,51,60,67
20200503,false,25,33,1,1,1,1,1191,1563,38,50,50,66
20200504,false,25,33,0,1,0,1,1225,1607,34,46,45,60
20200505,false,25,33,0,1,0,1,1264,1659,39,40,51,52
20200506,false,31,41,6,1,8,1,1320,1732,56,39,73,51
20200507,false,31,41,0,2,0,3,1369,1796,49,41,64,54
20200508,false,33,43,2,2,3,3,1422,1866,53,43,70,56
20200509,false,35,46,2,1,3,1,1462,1918,40,45,52,59
20200510,false,35,46,0,2,0,3,1488,1953,26,44,34,58
20200511,false,36,47,1,1,1,1,1514,1987,26,42,34,55
