date,projected,deaths,deathsPerMillion,deathIncrease,deathIncreaseAverage,deathIncreasePerMillion,deathIncreaseAveragePerMillion,positive,positivePerMillion,positiveIncrease,positiveIncreaseAverage,positiveIncreasePerMillion,positiveIncreaseAveragePerMillion
20200307,false,0,0,0,0,0,0,0,0,0,0,0,0
20200308,false,0,0,0,0,0,0,0,0,0,0,0,0
20200309,false,0,0,0,0,0,0,0,0,0,0,0,0
20200310,false,0,0,0,0,0,0,0,0,0,0,0,0
20200311,false,0,0,0,0,0,0,0,0,0,0,0,0
20200312,false,0,0,0,0,0,0,1,0,1,1,0,0
20200313,false,0,0,0,0,0,0,4,1,3,3,1,1
20200314,false,0,0,0,0,0,0,6,2,2,2,1,1
20200315,false,0,0,0,0,0,0,10,3,4,1,1,0
20200316,false,0,0,0,0,0,0,12,4,2,1,1,0
20200317,false,0,0,0,0,0,0,21,7,9,2,3,1
20200318,false,0,0,0,0,0,0,34,11,13,3,4,1
20200319,false,0,0,0,0,0,0,50,17,16,5,5,2
20200320,false,1,0,1,0,0,0,80,27,30,7,10,2
20200321,false,1,0,0,0,0,0,140,47,60,11,20,4
20200322,false,1,0,0,0,0,0,207,70,67,19,23,6
20200323,false,1,0,0,0,0,0,249,84,42,28,14,9
20200324,false,1,0,0,0,0,0,320,108,71,34,24,11
20200325,false,2,1,1,0,0,0,377,127,57,43,19,14
20200326,false,6,2,4,0,1,0,485,163,108,49,36,16
20200327,false,8,3,2,1,1,0,579,195,94,62,32,21
20200328,false,13,4,5,1,2,0,663,223,84,71,28,24
20200329,false,14,5,1,2,0,1,758,255,95,75,32,25
20200330,false,16,5,2,2,1,1,847,285,89,79,30,27
20200331,false,20,7,4,2,1,1,937,315,90,85,30,29
20200401,false,22,7,2,3,1,1,1073,361,136,88,46,30
20200402,false,26,9,4,3,1,1,1177,395,104,99,35,33
20200403,false,29,10,3,3,1,1,1358,456,181,99,61,33
20200404,false,35,12,6,3,2,1,1455,489,97,111,33,37
20200405,false,43,14,8,3,3,1,1638,550,183,113,61,38
20200406,false,51,17,8,4,3,1,1738,584,100,126,34,42
20200407,false,59,20,8,5,3,2,1915,643,177,127,59,43
20200408,false,67,23,8,6,3,2,2003,673,88,140,30,47
20200409,false,76,26,9,6,3,2,2260,759,257,133,86,45
20200410,false,82,28,6,7,2,2,2469,830,209,155,70,52
20200411,false,93,31,11,8,4,3,2642,888,173,159,58,53
20200412,false,96,32,3,8,1,3,2781,934,139,170,47,57
20200413,false,98,33,2,8,1,3,2942,989,161,163,54,55
20200414,false,111,37,13,7,4,2,3087,1037,145,172,49,58
20200415,false,122,41,11,7,4,2,3360,1129,273,167,92,56
20200416,false,129,43,7,8,2,3,3624,1218,264,194,89,65
20200417,false,140,47,11,8,4,3,3793,1274,169,195,57,66
20200418,false,152,51,12,8,4,3,3974,1335,181,189,61,64
20200419,false,159,53,7,8,2,3,4274,1436,300,190,101,64
20200420,false,169,57,10,9,3,3,4512,1516,238,213,80,72
20200421,false,183,61,14,10,5,3,4716,1585,204,224,69,75
20200422,false,193,65,10,10,3,3,4894,1644,178,233,60,78
20200423,false,201,68,8,10,3,3,5153,1731,259,219,87,74
20200424,false,209,70,8,10,3,3,5434,1826,281,218,94,73
20200425,false,221,74,12,10,4,3,5718,1921,284,234,95,79
20200426,false,227,76,6,10,2,3,5911,1986,193,249,65,84
20200427,false,229,77,2,10,1,3,6094,2048,183,234,61,79
20200428,false,239,80,10,9,3,3,6342,2131,248,226,83,76
20200429,false,250,84,11,8,4,3,6569,2207,227,232,76,78
20200430,false,261,88,11,8,4,3,6815,2290,246,239,83,80
20200501,false,281,94,20,9,7,3,7212,2423,397,237,133,80
20200502,false,291,98,10,10,3,3,7441,2500,229,254,77,85
20200503,false,303,102,12,10,4,3,7550,2537,109,246,37,83
20200504,false,310,104,7,11,2,4,7877,2647,327,234,110,79
20200505,false,342,115,32,12,11,4,8207,2758,330,255,111,86
20200506,false,374,126,32,15,11,5,8424,2831,217,266,73,89
20200507,false,396,133,22,18,7,6,8686,2919,262,265,88,89
20200508,false,409,137,13,19,4,6,9090,3054,404,267,136,90
20200509,false,421,141,12,18,4,6,9378,3151,288,268,97,90
20200510,false,430,144,9,19,3,6,9501,3192,123,277,41,93
